tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Adrenals,4,1,1,0.123778502,0.332247557,0.068403909,0.13029316,0.293159609,0.035830619
Adrenals,4,2,1,0.1104,0.3056,0.0544,0.168,0.2944,0.0544
Adrenals,4,3,2,0.057553957,0.294964029,0.136690647,0.057553957,0.273381295,0.151079137
Adrenals,4,4,2,0.142372881,0.276836158,0.120903955,0.116384181,0.273446328,0.051977401
Adrenals,4,5,3,0.016014235,0.106761566,0.169039146,0.023131673,0.158362989,0.523131673
Adrenals,4,6,3,0.065868263,0.407185629,0.167664671,0.113772455,0.19760479,0.041916168
Adrenals,4,7,4,0.105,0.43,0.065,0.05,0.25,0.07
Adrenals,4,8,4,0.118721461,0.180365297,0.059360731,0.136986301,0.319634703,0.162100457
Adrenals,1,9,5,0.089285714,0.4375,0.09375,0.075892857,0.272321429,0.03125
Adrenals,1,10,5,0.083700441,0.405286344,0.22907489,0.057268722,0.185022026,0.013215859
Adrenals,1,11,6,0.084745763,0.440677966,0.271186441,0,0.13559322,0.050847458
Adrenals,1,12,6,0.175342466,0.346575342,0.401369863,0.020547945,0.038356164,0.002739726
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Adrenals,8,13,7,0.177777778,0.333333333,0.155555556,0.166666667,0.133333333,0.022222222
Adrenals,8,14,7,0.094444444,0.102777778,0.075,0.158333333,0.236111111,0.333333333
Adrenals,8,15,8,0.212736502,0.267189663,0.098754038,0.179972312,0.175819105,0.055376096
Adrenals,8,16,8,0.115646259,0.217687075,0.06122449,0.129251701,0.244897959,0.231292517
Adrenals,8,17,9,0.132978723,0.223404255,0.127659574,0.175531915,0.180851064,0.14893617
Adrenals,8,18,9,0.176829268,0.18902439,0.164634146,0.109756098,0.164634146,0.176829268
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
Blood,8,14,7,0.256108469,0.063950888,0.001219661,0.549802821,0.124019189,0.003780949
Blood,8,15,8,0.492019319,0.084613615,0.00124195,0.368376265,0.05098896,0.000804968
Blood,8,16,8,0.425453658,0.043323297,0.001432175,0.464041012,0.062283343,0.001643746
Blood,8,17,9,0.450894577,0.07046518,0.001981833,0.410542252,0.063198459,0.0015139
Blood,8,18,9,0.450445836,0.054733447,0.001214191,0.435230507,0.055625119,0.000853728
Adrenals,12,19,10,0.212121212,0.295454545,0.03030303,0.234848485,0.181818182,0.022727273
Adrenals,12,20,10,0.212121212,0.212121212,0.03030303,0.196969697,0.303030303,0.045454545
Adrenals,12,21,11,0.195195195,0.228228228,0.162162162,0.102102102,0.219219219,0.081081081
Adrenals,12,22,11,0.147840532,0.246677741,0.035714286,0.186046512,0.28986711,0.086378738
Adrenals,12,23,12,0.119402985,0.388059701,0.134328358,0.104477612,0.208955224,0.044776119
Adrenals,12,24,12,0.12345679,0.055555556,0.037037037,0.172839506,0.209876543,0.401234568
Adrenals,12,25,13,0.201834862,0.211009174,0.055045872,0.119266055,0.211009174,0.183486239
