tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Brain,4,1,1,0.047904192,0.215568862,0.263473054,0.02994012,0.239520958,0.19760479
Brain,4,2,1,0.026455026,0.227513228,0.333333333,0.042328042,0.142857143,0.222222222
Brain,4,3,2,0.00505689,0.107458913,0.549936789,0.002528445,0.11125158,0.222503161
Brain,4,4,2,0.010141988,0.15821501,0.507099391,0.004056795,0.133874239,0.188640974
Brain,4,5,3,0.005457853,0.050333535,0.314129776,0.003638569,0.077622802,0.546998181
Brain,4,6,3,0.012096774,0.163978495,0.665322581,0.014784946,0.067204301,0.076612903
Brain,4,7,4,0.023391813,0.280701754,0.236842105,0.011695906,0.233918129,0.207602339
Brain,4,8,4,0.009302326,0.162790698,0.248837209,0.006976744,0.081395349,0.490697674
Brain,1,9,5,0.066115702,0.446280992,0.181818182,0.033057851,0.245179063,0.024793388
Brain,1,10,5,0.166666667,0.19047619,0.333333333,0.047619048,0.238095238,0.023809524
Brain,1,11,6,0.130434783,0.426086957,0.252173913,0.052173913,0.086956522,0.052173913
Brain,1,12,6,0.009803922,0.392156863,0.31372549,0.068627451,0.196078431,0.009803922
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
