tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
LN,4,1,1,0.023094688,0.377469849,0.092635361,0.032845779,0.406209905,0.062355658
LN,4,2,1,0.058564509,0.378247468,0.073095553,0.046235139,0.351827389,0.083663584
LN,4,3,2,0.038339921,0.403952569,0.06916996,0.047035573,0.373517787,0.060079051
LN,4,4,2,0.058233706,0.394909371,0.056305438,0.039336676,0.363671423,0.080215966
LN,4,5,3,0.035240041,0.40040858,0.063329928,0.041368744,0.388151175,0.059244127
LN,4,6,3,0.040564374,0.410493827,0.067901235,0.023809524,0.384479718,0.067460317
LN,4,7,4,0.059848734,0.484051299,0.074975337,0.041762578,0.292009207,0.035514633
LN,4,8,4,0.051449275,0.303140097,0.031400966,0.074637681,0.473913043,0.057971014
LN,1,9,5,0.083212104,0.4844341,0.061681699,0.058481234,0.281640966,0.019202793
LN,1,10,5,0.050547046,0.387746171,0.064332604,0.033260394,0.407221007,0.043763676
LN,1,11,6,0.140364482,0.440093059,0.070569988,0.082977898,0.216750679,0.033734005
LN,1,12,6,0.11745244,0.320926385,0.07464847,0.110215054,0.31120761,0.055004136
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
