tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
LPL,4,1,1,0.01303881,0.136830802,0.713913177,0.011044639,0.06918239,0.05138825
LPL,4,4,2,0.009349649,0.095696411,0.788945415,0.009212155,0.036298639,0.056647876
LPL,4,5,3,0.001239157,0.24535316,0.551425031,0,0.101610905,0.097893432
LPL,4,8,4,0.000331675,0.08291874,0.63814262,0.00066335,0.109121061,0.166832504
LPL,1,10,5,0.018292683,0.102223816,0.819225251,0.009325681,0.036944046,0.009684362
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
Blood,8,14,7,0.256108469,0.063950888,0.001219661,0.549802821,0.124019189,0.003780949
Blood,8,15,8,0.492019319,0.084613615,0.00124195,0.368376265,0.05098896,0.000804968
Blood,8,16,8,0.425453658,0.043323297,0.001432175,0.464041012,0.062283343,0.001643746
Blood,8,17,9,0.450894577,0.07046518,0.001981833,0.410542252,0.063198459,0.0015139
Blood,8,18,9,0.450445836,0.054733447,0.001214191,0.435230507,0.055625119,0.000853728
LPL,8,14,7,0.020181635,0.040363269,0.619576186,0.041372351,0.073662967,0.204843592
LPL,8,15,8,0.04219882,0.041601315,0.781088954,0.031891852,0.020165808,0.082530435
