tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Lung,4,1,1,0.050423012,0.37428088,0.101522843,0.056514382,0.336040609,0.067681895
Lung,4,2,1,0.084467574,0.338670937,0.046036829,0.079663731,0.341072858,0.087670136
Lung,4,3,2,0.108715596,0.22706422,0.148394495,0.131422018,0.188761468,0.176605505
Lung,4,4,2,0.081138601,0.272944932,0.12556531,0.05320564,0.28651237,0.167331737
Lung,4,5,3,0.038925844,0.201773836,0.120719389,0.049519586,0.202266568,0.377679231
Lung,4,6,3,0.055696203,0.358987342,0.244050633,0.04,0.237974684,0.046582278
Lung,4,7,4,0.027896679,0.264501845,0.34095941,0.027601476,0.185682657,0.144944649
Lung,4,8,4,0.072325976,0.225127334,0.052971138,0.090662139,0.317147708,0.222750424
Lung,1,9,5,0.082934609,0.4784689,0.128123339,0.066985646,0.205741627,0.017012228
Lung,1,10,5,0.172623574,0.38365019,0.030418251,0.115209125,0.272623574,0.005323194
Lung,1,11,6,0.214349376,0.432263815,0.045008913,0.098039216,0.173796791,0.007575758
Lung,1,12,6,0.177402687,0.312779883,0.037891836,0.157078884,0.271787806,0.003444712
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
