tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Pancreas,4,1,1,0.062798092,0.344992051,0.147058824,0.078696343,0.282193959,0.081081081
Pancreas,4,2,1,0.006107862,0.477582846,0.04431449,0.005717999,0.425730994,0.0388564
Pancreas,4,3,2,0.023593466,0.261343013,0.355716878,0.058076225,0.219600726,0.078039927
Pancreas,4,4,2,0.085250338,0.363836265,0.077807848,0.065798376,0.343876861,0.060047361
Pancreas,4,5,3,0.013561742,0.367594575,0.173447537,0.028194147,0.309421842,0.10028551
Pancreas,4,6,3,0.080991736,0.382093664,0.087052342,0.067217631,0.332506887,0.043250689
Pancreas,4,7,4,0.072222222,0.357407407,0.138888889,0.077777778,0.240740741,0.109259259
Pancreas,4,8,4,0.007660645,0.343013949,0.023324949,0.011433798,0.567230734,0.044820489
Pancreas,1,9,5,0.029120879,0.534203297,0.095467033,0.012225275,0.310302198,0.016758242
Pancreas,1,10,5,0.141245972,0.316863588,0.060150376,0.109559613,0.336734694,0.027389903
Pancreas,1,11,6,0.135062022,0.511480602,0.047307997,0.052520454,0.236276062,0.010226973
Pancreas,1,12,6,0.057146611,0.411455596,0.0622701,0.048607462,0.385969522,0.030346821
