tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Adrenals,4,1,1,0.020997375,0.580052493,0.154855643,0.060367454,0.146981627,0.036745407
Adrenals,4,2,1,0.035363458,0.432220039,0.227897839,0.011787819,0.241650295,0.049115914
Adrenals,4,3,2,0.027848101,0.470886076,0.311392405,0.035443038,0.096202532,0.063291139
Adrenals,4,4,2,0.062893082,0.34591195,0.144654088,0.060796646,0.329140461,0.056603774
Adrenals,4,5,3,0.011741683,0.514677104,0.326810176,0.011741683,0.080234834,0.054794521
Adrenals,4,6,3,0.059090909,0.390909091,0.15,0.059090909,0.3,0.040909091
Adrenals,4,7,4,0.023206751,0.588607595,0.172995781,0.048523207,0.141350211,0.02742616
Adrenals,4,8,4,0.102870813,0.397129187,0.217703349,0.033492823,0.193779904,0.057416268
Adrenals,1,9,5,0.027083333,0.554166667,0.297916667,0.0125,0.077083333,0.03125
Adrenals,1,10,5,0.012302285,0.472759227,0.360281195,0.007029877,0.121265378,0.026362039
Adrenals,1,11,6,0.005291005,0.650793651,0.298941799,0.005291005,0.026455026,0.010582011
Adrenals,1,12,6,0.030487805,0.545731707,0.25,0.018292683,0.12195122,0.033536585
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Adrenals,8,13,7,0.031578947,0.571929825,0.224561404,0.021052632,0.09122807,0.063157895
Adrenals,8,14,7,0.028011204,0.397759104,0.258636788,0.015873016,0.212885154,0.084033613
Adrenals,8,15,8,0.067833698,0.365426696,0.29321663,0.072210066,0.074398249,0.124726477
Adrenals,8,16,8,0.018398268,0.333333333,0.170995671,0.014069264,0.423160173,0.042207792
Adrenals,8,17,9,0.048096192,0.503006012,0.216432866,0.058116232,0.06012024,0.116232465
Adrenals,8,18,9,0.017204301,0.466666667,0.301075269,0.015053763,0.129032258,0.07311828
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Adrenals,12,19,10,0.021621622,0.405405405,0.124324324,0.07027027,0.297297297,0.07027027
Adrenals,12,20,10,0.035135135,0.597297297,0.07027027,0.018918919,0.251351351,0.02972973
Adrenals,12,21,11,0.047120419,0.434554974,0.232984293,0.044502618,0.151832461,0.091623037
Adrenals,12,22,11,0.052763819,0.369346734,0.243718593,0.050251256,0.185929648,0.09798995
Adrenals,12,23,12,0.060070671,0.583038869,0.173144876,0.024734982,0.109540636,0.049469965
Adrenals,12,24,12,0.042105263,0.229824561,0.150877193,0.042105263,0.436842105,0.1
Adrenals,12,25,13,0.057034221,0.593155894,0.16730038,0.049429658,0.102661597,0.034220532
Adrenals,12,26,13,0.054574639,0.382022472,0.126805778,0.024077047,0.341894061,0.070626003
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
Blood,12,21,11,0.424672489,0.079694323,0.055070354,0.361475012,0.026322174,0.049369238
Blood,12,22,11,0.350463822,0.036549165,0.066975881,0.363636364,0.101113173,0.071057514
Blood,12,23,12,0.480379747,0.133333333,0.060126582,0.258649789,0.035232068,0.031012658
Blood,12,24,12,0.277518131,0.031265109,0.0544722,0.431587429,0.112167607,0.090249799
Blood,12,25,13,0.407338597,0.095680446,0.033906177,0.391082211,0.039015327,0.024616814
Blood,12,26,13,0.414483087,0.031919962,0.036207718,0.387803716,0.085755121,0.038589805
Adrenals,12,27,14,0.023076923,0.438461538,0.334615385,0.042307692,0.096153846,0.065384615
Adrenals,12,28,14,0.056300268,0.431635389,0.273458445,0.021447721,0.080428954,0.136729223
Adrenals,12,29,15,0.0625,0.3625,0.2625,0.05625,0.15625,0.103125
Adrenals,12,30,15,0.011695906,0.596491228,0.263157895,0.01754386,0.058479532,0.052631579
Adrenals,12,31,16,0.046875,0.375,0.265625,0.05859375,0.1640625,0.09375
Adrenals,12,32,16,0.02955665,0.532019704,0.270935961,0.019704433,0.078817734,0.064039409
Blood,12,27,14,0.248635537,0.139680615,0.059025672,0.376389731,0.110167778,0.051748534
Blood,12,28,14,0.382206406,0.097864769,0.053380783,0.241637011,0.138434164,0.060142349
Blood,12,29,15,0.367218732,0.137921188,0.039120503,0.33837807,0.063392347,0.032838378
Blood,12,30,15,0.294273419,0.137702747,0.046673287,0.267792122,0.200595829,0.038728898
Blood,12,31,16,0.331581076,0.118075212,0.033158108,0.397492924,0.070359887,0.034371209
Blood,12,32,16,0.358433735,0.163654618,0.02811245,0.225150602,0.193524096,0.027108434
Adrenals,8,33,17,0.020408163,0.054421769,0.136054422,0.013605442,0.462585034,0.306122449
Adrenals,8,34,17,0.00974026,0.071428571,0.074675325,0.038961039,0.551948052,0.237012987
Adrenals,8,35,18,0.012919897,0.080103359,0.07751938,0.033591731,0.589147287,0.201550388
Adrenals,8,36,18,0.057142857,0.096428571,0.046428571,0.05,0.453571429,0.275
