tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
IEL,4,1,1,0.000938306,0.493314567,0.381186958,0.000938306,0.10250997,0.021111893
IEL,4,2,1,0.005313496,0.294367694,0.337938363,0.004250797,0.261424017,0.093517535
IEL,4,3,2,0.003915427,0.486296006,0.342208301,0.003915427,0.151918559,0.01018011
IEL,4,4,2,0.008122744,0.153429603,0.574909747,0.005415162,0.219314079,0.037906137
IEL,4,5,3,0.000405351,0.604783137,0.29023105,0.000810701,0.092419943,0.010539116
IEL,4,6,3,0.006714628,0.211031175,0.173141487,0.000479616,0.482973621,0.125179856
IEL,4,7,4,0.000690608,0.247237569,0.438535912,0.000690608,0.249309392,0.060082873
IEL,4,8,4,0.006451613,0.28172043,0.329032258,0,0.23655914,0.14516129
IEL,1,9,5,0.001367989,0.23255814,0.700410397,0,0.061559508,0.002735978
IEL,1,10,5,0.00907441,0.174228675,0.626134301,0.001814882,0.161524501,0.023593466
IEL,1,11,6,0.003486345,0.414875073,0.416037188,0,0.163277164,0.001162115
IEL,1,12,6,0.008902077,0.192878338,0.584569733,0.002967359,0.163204748,0.041543027
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
IEL,8,13,7,0.00265252,0.058355438,0.039787798,0.00265252,0.888594164,0.00795756
IEL,8,14,7,0.0125,0.7375,0.1125,0.0125,0.1,0.025
IEL,8,15,8,0,0.231638418,0.107344633,0,0.644067797,0.016949153
IEL,8,16,8,0.000912409,0.803832117,0.129562044,0.000912409,0.034671533,0.030109489
IEL,8,17,9,0,0.390291262,0.176699029,0.003883495,0.401941748,0.023300971
IEL,8,18,9,0.000896057,0.853046595,0.041218638,0.000896057,0.099462366,0.004480287
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
