tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
LPL,4,1,1,0.001377885,0.024457458,0.875990355,0.001033414,0.007578367,0.088184637
LPL,4,4,2,0.002805407,0.017342515,0.686304514,0,0.021423106,0.270594236
LPL,4,5,3,3.30229E-05,0.034475926,0.955220923,0.000330229,0.005712965,0.004127865
LPL,4,8,4,0.000342231,0.011806982,0.264031485,0.000171116,0.010780287,0.712525667
LPL,1,10,5,0,0.013188518,0.813033359,0,0.034910784,0.138867339
LPL,1,12,6,0,0.003787879,0.007575758,0,0.042424242,0.946212121
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
LPL,8,14,7,0.000681199,0.071355586,0.497104905,0,0.013368529,0.417574932
LPL,8,15,8,0.003152916,0.022070415,0.794534945,0.005780347,0.022595901,0.151865476
LPL,8,16,8,0.000679876,0.052447552,0.680652681,9.71251E-05,0.010878011,0.25534188
LPL,8,18,9,0.005721016,0.048292108,0.803634528,0.001514387,0.046272926,0.094565034
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
Blood,12,21,11,0.424672489,0.079694323,0.055070354,0.361475012,0.026322174,0.049369238
Blood,12,22,11,0.350463822,0.036549165,0.066975881,0.363636364,0.101113173,0.071057514
Blood,12,23,12,0.480379747,0.133333333,0.060126582,0.258649789,0.035232068,0.031012658
Blood,12,24,12,0.277518131,0.031265109,0.0544722,0.431587429,0.112167607,0.090249799
Blood,12,25,13,0.407338597,0.095680446,0.033906177,0.391082211,0.039015327,0.024616814
Blood,12,26,13,0.414483087,0.031919962,0.036207718,0.387803716,0.085755121,0.038589805
LPL,12,19,10,0.006024096,0.027108434,0.81626506,0.006024096,0.009036145,0.126506024
