tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Lung,4,1,1,0.041103299,0.385613845,0.129799892,0.063277447,0.292049757,0.072471606
Lung,4,2,1,0.11559272,0.353664535,0.094441712,0.052139695,0.304968028,0.072306936
Lung,4,3,2,0.140867702,0.286020354,0.135511516,0.174611676,0.183181575,0.069094804
Lung,4,4,2,0.144587434,0.288417865,0.11014383,0.079485238,0.286903861,0.077971234
Lung,4,5,3,0.066428206,0.35666837,0.189064895,0.088911599,0.218191109,0.068983137
Lung,4,6,3,0.195652174,0.216956522,0.108695652,0.105652174,0.240434783,0.119130435
Lung,4,7,4,0.099253404,0.350021959,0.148440931,0.137022398,0.17259552,0.072024594
Lung,4,8,4,0.223932161,0.21419598,0.117148241,0.123743719,0.227701005,0.076005025
Lung,1,9,5,0.141488578,0.38540899,0.108327192,0.128224024,0.173176124,0.052321297
Lung,1,10,5,0.197848457,0.243685688,0.127689429,0.124883068,0.247427502,0.046304958
Lung,1,11,6,0.209775087,0.464532872,0.135813149,0.069204152,0.089532872,0.025086505
Lung,1,12,6,0.148642826,0.205084016,0.101249461,0.166738475,0.297716502,0.065489013
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Lung,8,13,7,0.17997543,0.197788698,0.208230958,0.228501229,0.042383292,0.139434889
Lung,8,14,7,0.19287576,0.179843614,0.2589053,0.132059079,0.125108601,0.105994787
Lung,8,15,8,0.203296703,0.224175824,0.192307692,0.20989011,0.065934066,0.097802198
Lung,8,16,8,0.13655914,0.22688172,0.210752688,0.120430108,0.180645161,0.11827957
Lung,8,17,9,0.187982833,0.126180258,0.201716738,0.232618026,0.063519313,0.184549356
Lung,8,18,9,0.202166065,0.196149218,0.219013237,0.155234657,0.113116727,0.111913357
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
