tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
WAT,4,1,1,0.03340687,0.504569808,0.399621809,0.015442799,0.023006618,0.024267255
WAT,4,2,1,0.253373313,0.175412294,0.146926537,0.227886057,0.163418291,0.026986507
WAT,4,3,2,0.094101124,0.382724719,0.418539326,0.045646067,0.02247191,0.037219101
WAT,4,4,2,0.15015015,0.145645646,0.484984985,0.117117117,0.072072072,0.025525526
WAT,4,5,3,0.040713455,0.293912369,0.58898798,0.023264831,0.012795657,0.040713455
WAT,4,6,3,0.081210191,0.130175159,0.308519108,0.049363057,0.287420382,0.142117834
WAT,4,7,4,0.135076253,0.373275236,0.192447349,0.153957879,0.070442992,0.073347858
WAT,4,8,4,0.260259179,0.207343413,0.219222462,0.123110151,0.115550756,0.071274298
WAT,1,9,5,0.101416287,0.571320182,0.294385432,0.022003035,0.00809307,0.002529084
WAT,1,10,5,0.270833333,0.162677305,0.245124113,0.11214539,0.183953901,0.024822695
WAT,1,11,6,0.277730737,0.457239627,0.234546994,0.019475021,0.009314141,0.00084674
WAT,1,12,6,0.178687459,0.113060429,0.449642625,0.124106563,0.114359974,0.018193632
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
WAT,8,13,7,0.106951872,0.323147441,0.33460657,0.127578304,0.026737968,0.08250573
WAT,8,14,7,0.227771011,0.238733252,0.237515225,0.158343484,0.06090134,0.075517661
WAT,8,15,8,0.132051282,0.348717949,0.347435897,0.082051282,0.020512821,0.066666667
WAT,8,16,8,0.116197183,0.388497653,0.245305164,0.095070423,0.080985915,0.072769953
WAT,8,17,9,0.064951768,0.465594855,0.309967846,0.065594855,0.018649518,0.076527331
WAT,8,18,9,0.173515982,0.262557078,0.29109589,0.124429224,0.052511416,0.100456621
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
