tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
FRT,4,1,1,0.165291205,0.303466164,0.157274228,0.120018863,0.185097854,0.063900024
FRT,4,2,1,0.127761768,0.19548511,0.068443804,0.160182517,0.28698367,0.156580211
FRT,4,3,2,0.048048048,0.3003003,0.336336336,0.048048048,0.24024024,0.027027027
FRT,4,4,2,0.061007958,0.344827586,0.225464191,0.076923077,0.275862069,0.015915119
FRT,4,5,3,0.10647482,0.371223022,0.128057554,0.048920863,0.313669065,0.030215827
FRT,4,6,3,0.05078125,0.39453125,0.328125,0.07421875,0.140625,0.01171875
FRT,4,7,4,0.012379642,0.34525447,0.459422283,0.013755158,0.123796424,0.046767538
FRT,4,8,4,0.02027027,0.327702703,0.280405405,0.010135135,0.307432432,0.054054054
FRT,1,9,5,0.011804384,0.239460371,0.693086003,0.008431703,0.027824621,0.021079258
FRT,1,10,5,0.061403509,0.429824561,0.298245614,0.035087719,0.157894737,0.01754386
FRT,1,11,6,0.070512821,0.525641026,0.185897436,0.044871795,0.16025641,0.012820513
FRT,1,12,6,0.018181818,0.363636364,0.368181818,0.054545455,0.181818182,0.013636364
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
FRT,8,13,7,0.115646259,0.482993197,0.183673469,0.081632653,0.081632653,0.047619048
FRT,8,14,7,0.041884817,0.12565445,0.366492147,0.073298429,0.319371728,0.073298429
FRT,8,15,8,0.06779661,0.378531073,0.367231638,0.06779661,0.079096045,0.039548023
FRT,8,16,8,0.069767442,0.087209302,0.087209302,0.075581395,0.360465116,0.313953488
FRT,8,17,9,0.061643836,0.328767123,0.397260274,0.04109589,0.089041096,0.089041096
FRT,8,18,9,0.034722222,0.194444444,0.347222222,0.048611111,0.270833333,0.104166667
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
FRT,12,19,10,0.06006006,0.207207207,0.615615616,0.036036036,0.069069069,0.015015015
FRT,12,20,10,0.13446677,0.145285935,0.443585781,0.040185471,0.148377125,0.089644513
FRT,12,21,11,0.014941302,0.336179296,0.498399146,0.01280683,0.102454642,0.041622199
FRT,12,22,11,0.074906367,0.166666667,0.108614232,0.088014981,0.342696629,0.219101124
FRT,12,23,12,0.08974359,0.252136752,0.564102564,0.025641026,0.051282051,0.012820513
FRT,12,24,12,0.06805075,0.117070358,0.049019608,0.158592849,0.494809689,0.111880046
FRT,12,25,13,0.124125874,0.342657343,0.267482517,0.078671329,0.152097902,0.033216783
FRT,12,26,13,0.101141925,0.145187602,0.106035889,0.128874388,0.36867863,0.153344209
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
FRT,12,27,14,0.033939394,0.296969697,0.12969697,0.04969697,0.315151515,0.16
FRT,12,28,14,0.053571429,0.378571429,0.192857143,0.025,0.335714286,0.007142857
