tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Kidney,4,1,1,0.012133468,0.497724975,0.222952477,0.011122346,0.223205258,0.033619818
Kidney,4,2,1,0.008697453,0.331124456,0.255539449,0.012632015,0.3015117,0.090909091
Kidney,4,3,2,0.005277864,0.412915244,0.302080099,0.003415088,0.205526234,0.072027321
Kidney,4,4,2,0.014299643,0.336041599,0.283392915,0.013487163,0.288917777,0.064185895
Kidney,4,5,3,0.007027027,0.258378378,0.276756757,0.003243243,0.231351351,0.222702703
Kidney,4,6,3,0.032234432,0.340903541,0.118925519,0.048351648,0.407326007,0.050549451
Kidney,4,7,4,0.005078597,0.453204353,0.162273277,0.003143894,0.327448609,0.049093108
Kidney,4,8,4,0.004568197,0.302371112,0.281052861,0.007396128,0.313030237,0.092669132
Kidney,1,9,5,0.020447907,0.507497566,0.20194742,0.01187926,0.254527751,0.003700097
Kidney,1,10,5,0.011118293,0.410342599,0.341693601,0.008274079,0.21822883,0.010471881
Kidney,1,11,6,0.039505188,0.533719074,0.248403831,0.011572227,0.158220271,0.007581804
Kidney,1,12,6,0.017589477,0.388192108,0.322881615,0.030896299,0.235240135,0.004588559
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Kidney,8,13,7,0.229402262,0.316639742,0.129240711,0.184168013,0.108239095,0.030694669
Kidney,8,14,7,0.033584647,0.167923235,0.245373544,0.037697053,0.289924606,0.222755312
Kidney,8,15,8,0.174897119,0.362139918,0.154320988,0.179012346,0.098765432,0.030864198
Kidney,8,16,8,0.201357466,0.140271493,0.076923077,0.160633484,0.305429864,0.115384615
Kidney,8,17,9,0.076704545,0.224431818,0.389204545,0.098011364,0.110795455,0.103693182
Kidney,8,18,9,0.073375262,0.188679245,0.389937107,0.071278826,0.176100629,0.100628931
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Kidney,12,19,10,0.052219321,0.430809399,0.138381201,0.052219321,0.302872063,0.020887728
Kidney,12,20,10,0.032626427,0.340946166,0.159053834,0.018760196,0.274877651,0.175367047
Kidney,12,21,11,0.078014184,0.46572104,0.271867612,0.01891253,0.137115839,0.030732861
Kidney,12,22,11,0.020765027,0.166120219,0.099453552,0.032786885,0.45136612,0.23715847
Kidney,12,23,12,0.134502924,0.520467836,0.175438596,0.070175439,0.087719298,0.011695906
Kidney,12,24,12,0.013303769,0.144124169,0.082039911,0.046563193,0.454545455,0.262749446
Kidney,12,25,13,0.056772908,0.416334661,0.217131474,0.018924303,0.226095618,0.062749004
Kidney,12,26,13,0.055610725,0.270109235,0.123138034,0.075471698,0.390268123,0.085402185
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Kidney,12,27,14,0.059432387,0.384307179,0.070116861,0.063439065,0.324874791,0.09148581
