tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Liver,4,1,1,0.00266395,0.180130063,0.695212724,0.003134059,0.106793074,0.010420747
Liver,4,2,1,0.007685009,0.168975332,0.59402277,0.009013283,0.201897533,0.016034156
Liver,4,3,2,0.003043111,0.162299239,0.75812905,0.003381234,0.063510848,0.009185686
Liver,4,4,2,0.016253783,0.229682771,0.513171169,0.017486829,0.202779957,0.018271494
Liver,4,5,3,0.021326398,0.244863459,0.581924577,0.012873862,0.115474642,0.020286086
Liver,4,6,3,0.006100977,0.174500405,0.637614393,0.007781859,0.163170018,0.008528917
Liver,4,7,4,0.019937875,0.253052084,0.582099256,0.012641768,0.118254714,0.010402369
Liver,4,8,4,0.003321489,0.146454503,0.671172563,0.004789124,0.134404449,0.038390236
Liver,1,9,5,0.022995043,0.319655481,0.500040627,0.016088405,0.133826278,0.003331437
Liver,1,10,5,0.021510603,0.278665613,0.574649085,0.016224099,0.099532114,0.007899374
Liver,1,11,6,0.025960733,0.342793338,0.539220248,0.011165907,0.073788034,0.00362892
Liver,1,12,6,0.017757875,0.227995676,0.563310686,0.014823965,0.165457072,0.007257566
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Liver,8,13,7,0.266500416,0.150124688,0.198503741,0.240731505,0.126849543,0.010806318
Liver,8,14,7,0.134439345,0.087617631,0.448396113,0.180004616,0.105310393,0.040411293
Liver,8,15,8,0.125835659,0.11649973,0.606272431,0.091095682,0.043747508,0.013910065
Liver,8,16,8,0.193550973,0.090242289,0.387462675,0.182648951,0.121104631,0.020661737
Liver,8,17,9,0.117106363,0.107164174,0.581558349,0.122256519,0.056975733,0.012585481
Liver,8,18,9,0.241697417,0.076326994,0.342435424,0.199290378,0.087482259,0.048084019
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Liver,12,19,10,0.068265628,0.241024279,0.476000826,0.086703838,0.107148125,0.021771838
Liver,12,20,10,0.145842531,0.301655629,0.306254599,0.083296542,0.148381163,0.015710081
Liver,12,21,11,0.056334323,0.223458228,0.599684317,0.03107971,0.078995828,0.010222105
Liver,12,22,11,0.087965616,0.163839542,0.400916905,0.114040115,0.201203438,0.029398281
Liver,12,23,12,0.057617257,0.282125878,0.582511412,0.021665602,0.051538589,0.006717283
Liver,12,24,12,0.083805444,0.099143291,0.298397126,0.207959099,0.254939892,0.05195523
Liver,12,25,13,0.103754138,0.252420513,0.410331688,0.061465426,0.129614592,0.042288713
Liver,12,26,13,0.065745797,0.254416961,0.369846879,0.095674055,0.187118535,0.028750402
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Liver,12,27,14,0.235010562,0.19558035,0.238314467,0.172886313,0.111953637,0.034013974
