tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
LPL,4,1,1,0.006705653,0.112046784,0.630721248,0.006003899,0.051929825,0.189551657
LPL,4,4,2,0.00905442,0.059553813,0.653225054,0.00700084,0.069541678,0.199383926
LPL,4,5,3,0.002314815,0.466820988,0.391975309,0,0.06558642,0.071759259
LPL,4,8,4,0,0.044202813,0.700153646,0,0.053421581,0.201749202
LPL,1,10,5,0.00344026,0.076429568,0.871594607,0.00120874,0.029846583,0.015620642
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
LPL,8,14,7,0.028518859,0.056117755,0.429622815,0.028518859,0.095676173,0.355105796
LPL,8,15,8,0.030449983,0.056689598,0.71189053,0.01988647,0.025976467,0.154731025
LPL,8,16,8,0.014527845,0.021307506,0.462953995,0.013236481,0.030024213,0.457627119
LPL,8,18,9,0.0058484,0.030962119,0.552348916,0.005389702,0.029242001,0.37628531
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
LPL,12,19,10,0.006930407,0.062806815,0.673115796,0.016026567,0.051111753,0.185244008
LPL,12,20,10,0.000896459,0.022680412,0.480591663,0.000627521,0.028328104,0.465710444
LPL,12,21,11,0.002221517,0.053792447,0.780545858,0.001904157,0.024912726,0.134877817
LPL,12,22,11,0.003255814,0.094883721,0.33875969,0.002015504,0.141705426,0.417984496
LPL,12,23,12,0.012353415,0.057738788,0.722853818,0.005460568,0.019425298,0.179035001
LPL,12,24,12,0.004305284,0.028375734,0.274951076,0.009393346,0.093150685,0.587866928
LPL,12,25,13,0.004064594,0.069867077,0.645171921,0.00252664,0.041305064,0.235636603
LPL,12,26,13,0.000116577,0.04733038,0.443926323,0.000466309,0.052459781,0.454185125
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
LPL,12,27,14,0.01221139,0.081426372,0.640995382,0.012057465,0.036326321,0.210774756
LPL,12,28,14,0.013165769,0.023040096,0.434320766,0.012567325,0.056552962,0.456912029
LPL,12,29,15,0.010391198,0.043194784,0.572330888,0.010187449,0.040749796,0.319885901
LPL,12,30,15,0.011474082,0.044816415,0.617575594,0.007829374,0.041036717,0.273353132
LPL,12,31,16,0.002649277,0.055431017,0.674954147,0.002037905,0.035459548,0.226207459
LPL,12,32,16,0.004230118,0.039763113,0.486971235,0.005922166,0.049238579,0.409813875
Blood,8,33,17,0.589322973,0.117922153,0.0015109,0.248291244,0.040362616,0.000719476
Blood,8,34,17,0.218706084,0.032373913,0.00026024,0.631135169,0.114661948,0.000936866
Blood,8,35,18,0.190904263,0.389053254,0.000568958,0.128622364,0.284782279,0.000303444
Blood,8,36,18,0.312643972,0.078512926,0.000575889,0.512221653,0.094509854,0.000511902
Blood,8,37,19,0.6034987,0.069432409,0.000704073,0.273775997,0.051018198,0.000649913
