tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Lung,4,1,1,0.035111111,0.466,0.093111111,0.038444444,0.326222222,0.038666667
Lung,4,2,1,0.044308633,0.316271963,0.17303285,0.041634836,0.389228419,0.032467532
Lung,4,3,2,0.070751138,0.379742033,0.103945372,0.065060698,0.325113809,0.048937785
Lung,4,4,2,0.039825581,0.366860465,0.198546512,0.036627907,0.334302326,0.020348837
Lung,4,5,3,0.103548575,0.387725422,0.124200116,0.054682955,0.264979639,0.059918557
Lung,4,6,3,0.02936747,0.338478916,0.224774096,0.037274096,0.354292169,0.009412651
Lung,4,7,4,0.009552798,0.337953641,0.135612269,0.010161555,0.373542496,0.131912901
Lung,4,8,4,0.027818881,0.364604913,0.111275525,0.041136431,0.39863865,0.054158035
Lung,1,9,5,0.057555719,0.39358315,0.33847661,0.039676708,0.15674749,0.011021308
Lung,1,10,5,0.10427939,0.357107723,0.205607477,0.09050664,0.225282833,0.010329562
Lung,1,11,6,0.160528801,0.468995908,0.150456405,0.058545798,0.149197356,0.006610009
Lung,1,12,6,0.111111111,0.279685265,0.231521221,0.154268002,0.214115403,0.002384359
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Lung,8,13,7,0.156231003,0.394832827,0.173556231,0.079331307,0.163525836,0.030699088
Lung,8,14,7,0.161951909,0.184582744,0.059405941,0.226308345,0.304809052,0.0572843
Lung,8,15,8,0.213049268,0.298712827,0.200177541,0.158899245,0.118952508,0.00665779
Lung,8,16,8,0.178981938,0.148604269,0.113300493,0.200328407,0.299671593,0.055829228
Lung,8,17,9,0.147826087,0.316908213,0.215458937,0.139613527,0.15410628,0.02173913
Lung,8,18,9,0.197014925,0.158208955,0.169154229,0.195024876,0.235820896,0.04079602
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Lung,12,19,10,0.181849974,0.28309145,0.089700997,0.234044413,0.17092149,0.035670572
Lung,12,20,10,0.171198389,0.240181269,0.181772407,0.116817724,0.237160121,0.047331319
Lung,12,21,11,0.159759204,0.366056958,0.240564946,0.0884464,0.129891179,0.011113684
Lung,12,22,11,0.037158145,0.161414982,0.075505351,0.052913199,0.44991082,0.216111772
Lung,12,23,12,0.161066049,0.359212051,0.33400927,0.058227115,0.07387022,0.011587486
Lung,12,24,12,0.068031306,0.08217941,0.08819988,0.19205298,0.413004214,0.150210716
Lung,12,25,13,0.185524245,0.378772708,0.09912745,0.126019168,0.175940495,0.032184237
Lung,12,26,13,0.181258322,0.154960053,0.062916112,0.230525965,0.308588549,0.059587217
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Lung,12,27,14,0.274567418,0.285014691,0.044237675,0.181031668,0.189193601,0.017140059
Lung,12,28,14,0.244110276,0.183458647,0.055137845,0.314285714,0.193483709,0.003508772
