tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
MLN,4,1,1,0.080723624,0.382183034,0.143964731,0.059288538,0.249315901,0.079659471
MLN,4,2,1,0.049076212,0.28204388,0.099884527,0.048498845,0.407909931,0.108256351
MLN,4,3,2,0.011450382,0.417204932,0.145625367,0.008514386,0.320023488,0.095419847
MLN,4,4,2,0.075619626,0.318664643,0.096863935,0.070814365,0.338138594,0.097622661
MLN,4,5,3,0.058790116,0.477421187,0.128940642,0.035501278,0.244248793,0.051689861
MLN,4,6,3,0.054777696,0.230655859,0.082535004,0.102677475,0.405797101,0.117415868
MLN,4,7,4,0.068876159,0.43207856,0.134478996,0.049099836,0.242907801,0.068603382
MLN,4,8,4,0.075526742,0.235656402,0.103403566,0.102106969,0.355267423,0.121880065
MLN,1,10,5,0.069341564,0.328395062,0.201234568,0.053703704,0.279012346,0.061111111
MLN,1,11,6,0.059531773,0.514158305,0.148049052,0.020735786,0.211371237,0.041917503
MLN,1,12,6,0.123230929,0.213496721,0.096651709,0.211425613,0.289782534,0.06057991
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
MLN,8,13,7,0.318941428,0.155443537,0.144266068,0.177798477,0.104323051,0.092871623
MLN,8,14,7,0.27432299,0.046521609,0.088579889,0.410626153,0.067164499,0.10922278
MLN,8,15,8,0.34681533,0.105087347,0.152259288,0.249672731,0.055884079,0.085812305
MLN,8,16,8,0.29742231,0.053574636,0.1079127,0.334381175,0.078633016,0.123944674
MLN,8,17,9,0.310831599,0.085422134,0.148402859,0.271287666,0.062211565,0.11722921
MLN,8,18,9,0.324338311,0.053711371,0.106831288,0.346185125,0.061141505,0.104354576
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
MLN,12,19,10,0.236667056,0.114715836,0.119733925,0.3044696,0.105379858,0.113548839
MLN,12,20,10,0.306272691,0.165086729,0.12273094,0.192617991,0.119100444,0.084812424
MLN,12,21,11,0.250918555,0.220606246,0.170851194,0.158603797,0.113135334,0.078230251
MLN,12,22,11,0.265230231,0.07645193,0.071530132,0.357541288,0.122716833,0.099748441
MLN,12,23,12,0.198825383,0.325884544,0.218450079,0.080074488,0.095831543,0.073485174
MLN,12,24,12,0.180269776,0.04469593,0.052240512,0.423982625,0.168609968,0.122885231
MLN,12,25,13,0.249954784,0.198227528,0.159160789,0.161873757,0.129499005,0.09495388
MLN,12,26,13,0.253677278,0.085729967,0.093304061,0.324588364,0.11701427,0.118770582
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
MLN,12,27,14,0.253465701,0.198819426,0.115642608,0.194347554,0.129505411,0.076021823
MLN,12,28,14,0.296538966,0.075464426,0.077083173,0.324134741,0.115701842,0.087103985
