tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Pancreas,4,1,1,0.106614447,0.385552654,0.103133159,0.103133159,0.24586597,0.051348999
Pancreas,4,2,1,0.014864283,0.406505816,0.100387764,0.014433434,0.392503231,0.070012925
Pancreas,4,3,2,0.010687023,0.348091603,0.245801527,0.009160305,0.261068702,0.12519084
Pancreas,4,4,2,0.044714779,0.38961039,0.135130692,0.04668749,0.319579155,0.062797962
Pancreas,4,5,3,0.036077236,0.479928862,0.133638211,0.021595528,0.272103659,0.054878049
Pancreas,4,6,3,0.050439883,0.302346041,0.100879765,0.096480938,0.376246334,0.070087977
Pancreas,4,7,4,0.024653313,0.465331279,0.252696456,0.016949153,0.214175655,0.026194145
Pancreas,4,8,4,0.012274959,0.333333333,0.073376978,0.014184397,0.494817239,0.069285325
Pancreas,1,9,5,0.027352742,0.48422478,0.118348003,0.016926202,0.312796209,0.03859174
Pancreas,1,10,5,0.112420382,0.31433121,0.150318471,0.09522293,0.27133758,0.054458599
Pancreas,1,11,6,0.159376454,0.480979525,0.081607725,0.056072592,0.19014658,0.028036296
Pancreas,1,12,6,0.053383459,0.358270677,0.144360902,0.071052632,0.326566416,0.041854637
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Pancreas,8,13,7,0.193213296,0.325023084,0.08010157,0.139658356,0.213758079,0.046398892
Pancreas,8,14,7,0.017605634,0.13028169,0.211267606,0.102112676,0.447183099,0.091549296
Pancreas,8,15,8,0.171802054,0.352240896,0.08426704,0.148225957,0.190943044,0.046685341
Pancreas,8,16,8,0.083993661,0.148969889,0.085578447,0.110935024,0.47385103,0.096671949
Pancreas,8,17,9,0.175442478,0.259734513,0.063938053,0.21659292,0.222123894,0.057522124
Pancreas,8,18,9,0.054545455,0.245454545,0.175757576,0.021212121,0.472727273,0.03030303
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Pancreas,12,19,10,0.147761194,0.304477612,0.043283582,0.246268657,0.232835821,0.017910448
Pancreas,12,20,10,0.1625,0.275,0.05,0.1,0.3875,0.025
Pancreas,12,21,11,0.145833333,0.39295977,0.099616858,0.113266284,0.209291188,0.034961686
Pancreas,12,24,12,0.034482759,0.146551724,0.112068966,0.060344828,0.448275862,0.198275862
Pancreas,12,25,13,0.160714286,0.441964286,0.15625,0.09375,0.111607143,0.035714286
Pancreas,12,26,13,0.101694915,0.305084746,0.016949153,0.050847458,0.440677966,0.084745763
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Pancreas,12,27,14,0.179742585,0.278343593,0.043536654,0.223726917,0.216899832,0.042081701
Pancreas,12,28,14,0.090239411,0.395948435,0.193370166,0.066298343,0.23572744,0.014732965
Pancreas,12,29,15,0.241097421,0.24165613,0.044108566,0.228364748,0.194312936,0.037345252
