tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
PP,4,1,1,0.025082967,0.288878598,0.304854519,0.022921973,0.195801497,0.157135139
PP,4,2,1,0.051396648,0.233938547,0.298743017,0.061871508,0.170810056,0.180446927
PP,4,3,2,0.072622478,0.274063401,0.313544669,0.070605187,0.141210375,0.124495677
PP,4,4,2,0.074799295,0.234775798,0.25748972,0.084785588,0.180536519,0.16154298
PP,4,5,3,0.114036559,0.279724971,0.299345967,0.060707697,0.126278719,0.112359551
PP,4,6,3,0.072560276,0.222273249,0.205281286,0.132950631,0.215614237,0.147187141
PP,4,7,4,0.125642123,0.304794521,0.202268836,0.078553082,0.173587329,0.110231164
PP,4,8,4,0.054520167,0.25674548,0.192767733,0.080667594,0.261752434,0.148539638
PP,1,9,5,0.125972006,0.214964576,0.390012096,0.117850354,0.066182824,0.078797304
PP,1,10,5,0.126640112,0.241447985,0.403701968,0.109770384,0.072282099,0.040299906
PP,1,11,6,0.211919528,0.223718046,0.361669944,0.097867191,0.052337014,0.047496597
PP,1,12,6,0.115842555,0.269365457,0.308306486,0.169211374,0.087127049,0.046224961
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
PP,8,13,7,0.072481024,0.121446644,0.471647567,0.038845066,0.058937342,0.233368061
PP,8,14,7,0.036868687,0.068686869,0.301515152,0.047979798,0.118181818,0.425757576
PP,8,15,8,0.070961877,0.112209534,0.514459406,0.050451679,0.047213227,0.20231805
PP,8,16,8,0.038067177,0.047967001,0.324572775,0.039245728,0.085327048,0.46199175
PP,8,17,9,0.054371002,0.096837242,0.5094172,0.049040512,0.046908316,0.240049751
PP,8,18,9,0.04,0.069380531,0.37699115,0.04159292,0.099469027,0.370973451
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
PP,12,19,10,0.050694444,0.163541667,0.380902778,0.084027778,0.124305556,0.191319444
PP,12,20,10,0.089497717,0.161187215,0.259360731,0.057077626,0.147488584,0.284474886
PP,12,21,11,0.072815534,0.220159909,0.427755568,0.049685894,0.091090805,0.136207881
PP,12,22,11,0.080617123,0.146240765,0.180573664,0.089526293,0.225119513,0.271186441
PP,12,23,12,0.060980243,0.208016717,0.505699088,0.033054711,0.059080547,0.128039514
PP,12,24,12,0.042536736,0.096674401,0.143078113,0.079659706,0.271848415,0.361175561
PP,12,25,13,0.10366024,0.199776474,0.357082984,0.083822297,0.117351215,0.132998044
PP,12,26,13,0.073923757,0.112769967,0.213219307,0.087114075,0.165531236,0.340194231
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
PP,12,27,14,0.166266415,0.168565735,0.294210822,0.125236319,0.080629503,0.144754995
PP,12,28,14,0.199638699,0.084704938,0.152990767,0.238779607,0.1234444,0.182496989
