tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Spleen,4,1,1,0.289797275,0.229810568,0.069790628,0.225490196,0.154204055,0.027417747
Spleen,4,2,1,0.18593482,0.228816467,0.086792453,0.204116638,0.253516295,0.038078902
Spleen,4,3,2,0.0978739,0.398826979,0.095674487,0.109237537,0.256964809,0.03702346
Spleen,4,4,2,0.209625323,0.204134367,0.090439276,0.218669251,0.23255814,0.040697674
Spleen,4,5,3,0.302017863,0.278200463,0.074098578,0.154482302,0.156797883,0.028779358
Spleen,4,6,3,0.107718696,0.249399657,0.088850772,0.185591767,0.313207547,0.052830189
Spleen,4,7,4,0.213281799,0.308854533,0.099437807,0.134223472,0.208713985,0.031974701
Spleen,4,8,4,0.081364829,0.26727909,0.121609799,0.154418198,0.30183727,0.070428696
Spleen,1,9,5,0.224107143,0.316666667,0.102083333,0.164285714,0.164583333,0.024702381
Spleen,1,10,5,0.163358048,0.323367615,0.130590768,0.146854819,0.202343937,0.027027027
Spleen,1,11,6,0.374407583,0.273301738,0.098736177,0.139810427,0.092153765,0.017377567
Spleen,1,12,6,0.178988327,0.224124514,0.149416342,0.281971466,0.130479896,0.031387808
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Spleen,8,13,7,0.360137425,0.183388272,0.124704025,0.207530526,0.085333581,0.034913413
Spleen,8,14,7,0.241752652,0.091919779,0.081819503,0.345443976,0.171123383,0.065397471
Spleen,8,15,8,0.336757193,0.211669804,0.10282334,0.240064533,0.073998387,0.031352514
Spleen,8,16,8,0.256524188,0.106076726,0.072344953,0.281869954,0.204706177,0.076600538
Spleen,8,17,9,0.283939201,0.212564295,0.092353927,0.256140554,0.111367971,0.039877478
Spleen,8,18,9,0.25929803,0.121551724,0.08817734,0.259236453,0.200061576,0.068965517
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Spleen,12,19,10,0.214663486,0.207300633,0.080265478,0.280099554,0.183863943,0.027999585
Spleen,12,20,10,0.204957015,0.279540882,0.115282605,0.140479239,0.218721419,0.035485641
Spleen,12,21,11,0.229244114,0.331032041,0.104974332,0.130642592,0.164453886,0.033634272
Spleen,12,22,11,0.177627439,0.170704846,0.057426054,0.259597231,0.274386407,0.055066079
Spleen,12,23,12,0.216889514,0.414637579,0.128219564,0.082195637,0.125263899,0.02505278
Spleen,12,24,12,0.122428331,0.101686341,0.050590219,0.324620573,0.315008432,0.080269815
Spleen,12,25,13,0.221982093,0.30920037,0.110373572,0.125347329,0.185242359,0.041525162
Spleen,12,26,13,0.180266204,0.169270833,0.083767361,0.252748843,0.247974537,0.062355324
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Spleen,12,27,14,0.340416305,0.168148309,0.063963573,0.250975716,0.12001301,0.041088465
