tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
WAT,4,1,1,0.05045045,0.353153153,0.395495495,0.063063063,0.108108108,0.027927928
WAT,4,2,1,0.09495549,0.341246291,0.09495549,0.097922849,0.320474777,0.041543027
WAT,4,3,2,0.062818336,0.388794567,0.169779287,0.050933786,0.271646859,0.054329372
WAT,4,4,2,0.066176471,0.452205882,0.172794118,0.044117647,0.242647059,0.018382353
WAT,4,5,3,0.079738562,0.245751634,0.422222222,0.023529412,0.145098039,0.083660131
WAT,4,6,3,0.011061947,0.264380531,0.247787611,0.025442478,0.280973451,0.173672566
WAT,4,7,4,0.061836999,0.427943079,0.123156533,0.041655886,0.266235446,0.076326003
WAT,4,8,4,0.0536862,0.272967864,0.099432892,0.097164461,0.355387524,0.116824197
WAT,1,9,5,0.014128728,0.598744113,0.337833595,0.006907378,0.040502355,0.002511774
WAT,1,10,5,0.099946837,0.341307815,0.348219032,0.073896863,0.117490696,0.018607124
WAT,1,11,6,0.181818182,0.461038961,0.191558442,0.064935065,0.087662338,0.00974026
WAT,1,12,6,0.018991965,0.341124909,0.512783053,0.043097151,0.0752374,0.008035062
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
WAT,8,13,7,0.343137255,0.238562092,0.094771242,0.202614379,0.111111111,0.009803922
WAT,8,14,7,0.236842105,0.105263158,0.089473684,0.415789474,0.136842105,0.015789474
WAT,8,15,8,0.349662162,0.214527027,0.10472973,0.241554054,0.067567568,0.02027027
WAT,8,16,8,0.328611898,0.067988669,0.107648725,0.252124646,0.209631728,0.031161473
WAT,8,17,9,0.179180887,0.397610922,0.127986348,0.153583618,0.105802048,0.034129693
WAT,8,18,9,0.28172043,0.11827957,0.146236559,0.305376344,0.11827957,0.030107527
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
WAT,12,19,10,0.258992806,0.158273381,0.071942446,0.338129496,0.165467626,0.007194245
WAT,12,20,10,0.169398907,0.25136612,0.109289617,0.196721311,0.207650273,0.049180328
WAT,12,21,11,0.256637168,0.415929204,0.061946903,0.132743363,0.10619469,0.026548673
WAT,12,22,11,0.131313131,0.198653199,0.04040404,0.272727273,0.343434343,0.01010101
WAT,12,23,12,0.458229942,0.286186931,0.033912324,0.137303557,0.071960298,0.005789909
WAT,12,24,12,0.038961039,0.166469894,0.225501771,0.12042503,0.297520661,0.153482881
WAT,12,25,13,0.02145046,0.370786517,0.440245148,0.012257406,0.113381001,0.04494382
WAT,12,26,13,0.080858086,0.247524752,0.080858086,0.141089109,0.396039604,0.053630363
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
WAT,12,27,14,0.239160839,0.204195804,0.100699301,0.151048951,0.197202797,0.097902098
