Tissue,Mean,Standard deviation,Median
Blood,9950000,4310000,5070000
BoneMarrow,230000000,30500000,234000000
Thymus,1530000,744000,1360000
Spleen,75200000,14000000,76500000
LN,172000000,55200000,163000000
MLN,110000000,43000000,92700000
PP,7730000,3280000,8100000
Adrenals,2060,1020,1930
Brain,16700,8100,16800
Skin,3610,2920,2720
Kidney,222000,151000,169000
Liver,3600000,3660000,2550000
Lung,678000,445000,518000
Pancreas,461000,861000,128000
Muscle,258000,509000,47500
WAT,14300,20300,6050
IEL,49800,19400,47600
LPL,4080000,2250000,4240000
FRT,8280,5630,5450
