tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
Brain,0,73,0,0.434155472,0.399367333,0.166477195,0,0,0
Brain,0,74,0,0.396118721,0.380136986,0.223744292,0,0,0
Brain,0,76,0,0.476240318,0.449026586,0.074733096,0,0,0
Brain,0,77,0,0.288372093,0.273488372,0.438139535,0,0,0
Brain,0,78,0,0.483517183,0.403681874,0.112800943,0,0,0
Brain,0,79,0,0.390580263,0.261320761,0.348098976,0,0,0
Brain,0,80,0,0.492051279,0.376707255,0.131241466,0,0,0
Blood,0,73,0,0.760558908,0.238170848,0.001270245,0,0,0
Blood,0,74,0,0.624918884,0.375081116,0,0,0,0
Blood,0,75,0,0.614330057,0.383471288,0.002198655,0,0,0
Blood,0,76,0,0.744565217,0.25310559,0.002329193,0,0,0
Blood,0,77,0,0.674945625,0.324142286,9.12089e-4,0,0,0
Blood,0,78,0,0.676290306,0.323709694,0,0,0,0
Blood,0,79,0,0.708048319,0.288167661,0.00378402,0,0,0
Blood,0,80,0,0.612348822,0.387651178,0,0,0,0
Blood,4,1,1,0.264138139,0.254778914,0.001299892,0.243729792,0.236053263,0
Blood,4,2,1,0.265950888,0.205486032,8.97525e-4,0.300228954,0.226488509,9.48091e-4
Blood,4,3,2,0.334607744,0.279249845,0.001107158,0.199833297,0.185201957,0
Blood,4,4,2,0.16600594,0.235543537,6.43122e-4,0.257133064,0.340446574,2.27764e-4
Blood,4,5,3,0.355941916,0.246560784,0.002175536,0.223028383,0.171225691,0.001067689
Blood,4,6,3,0.225708493,0.252121189,0.002161039,0.331166117,0.18834092,5.02242e-4
Blood,4,7,4,0.268339201,0.306426055,0.002308294,0.195932506,0.22470877,0.002285174
Blood,4,8,4,0.195943127,0.292445117,0.001126673,0.226018638,0.283290329,0.001176115
Blood,1,9,5,0.266787478,0.360575,0.006907324,0.16780304,0.197049757,8.77402e-4
Blood,1,10,5,0.248450899,0.389965458,0.001856978,0.186433584,0.173091142,2.0194e-4
Blood,1,11,6,0.388156134,0.387373561,0.006651869,0.122196142,0.095622293,0
Blood,1,12,6,0.159241228,0.356102552,0,0.217794616,0.266409486,4.52118e-4
Brain,4,3,2,0.047678126,0.214277556,0.286068758,0.071412138,0.166327006,0.214236415
Brain,4,4,2,0.104835052,0.314505156,0.26208763,0.08704367,0.208981498,0.022546995
Brain,4,5,3,0.117619473,0.157021996,0.313455894,0.058902077,0.098032828,0.254967733
Brain,4,6,3,0.197315613,0.28812176,0.197315613,0.04565121,0.136953629,0.134642175
Brain,1,9,5,0.236912459,0.359117304,0.153693209,0.083375601,0.160491772,0.006409656
Blood,8,13,7,0.464413084,0.307037222,0,0.170498072,0.057823073,2.2855e-4
Blood,8,14,7,0.153477992,0.137460365,4.07721e-4,0.237996435,0.470309372,3.48114e-4
Blood,8,15,8,0.411700753,0.31058127,0,0.16885253,0.108865447,0
Blood,8,16,8,0.254780932,0.139833256,6.32015e-4,0.349642099,0.25467011,4.4159e-4
Blood,8,17,9,0.301682634,0.298665808,0.002413461,0.21093343,0.186304668,0
