tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
IEL,0,73,0,0,0.0981,0.902,0,0,0
IEL,0,74,0,0.0202,0.101,0.879,0,0,0
IEL,0,75,0,0.0511,0.104,0.845,0,0,0
IEL,0,76,0,0.0354,0.0866,0.874,0,0,0
IEL,0,77,0,0.0405,0.0743,0.885,0,0,0
IEL,0,78,0,0.0029,0.0437,0.953,0,0,0
IEL,0,79,0,0.0083,0.064,0.928,0,0,0
IEL,0,80,0,0.0419,0.108,0.856,0,0,0
Blood,0,73,0,0.760558908,0.238170848,0.001270245,0,0,0
Blood,0,74,0,0.624918884,0.375081116,0,0,0,0
Blood,0,75,0,0.614330057,0.383471288,0.002198655,0,0,0
Blood,0,76,0,0.744565217,0.25310559,0.002329193,0,0,0
Blood,0,77,0,0.674945625,0.324142286,9.12089e-4,0,0,0
Blood,0,78,0,0.676290306,0.323709694,0,0,0,0
Blood,0,79,0,0.708048319,0.288167661,0.00378402,0,0,0
Blood,0,80,0,0.612348822,0.387651178,0,0,0,0
Blood,4,1,1,0.264138139,0.254778914,0.001299892,0.243729792,0.236053263,0
Blood,4,2,1,0.265950888,0.205486032,8.97525e-4,0.300228954,0.226488509,9.48091e-4
Blood,4,3,2,0.334607744,0.279249845,0.001107158,0.199833297,0.185201957,0
Blood,4,4,2,0.16600594,0.235543537,6.43122e-4,0.257133064,0.340446574,2.27764e-4
Blood,4,5,3,0.355941916,0.246560784,0.002175536,0.223028383,0.171225691,0.001067689
Blood,4,6,3,0.225708493,0.252121189,0.002161039,0.331166117,0.18834092,5.02242e-4
Blood,4,7,4,0.268339201,0.306426055,0.002308294,0.195932506,0.22470877,0.002285174
Blood,4,8,4,0.195943127,0.292445117,0.001126673,0.226018638,0.283290329,0.001176115
Blood,1,9,5,0.266787478,0.360575,0.006907324,0.16780304,0.197049757,8.77402e-4
Blood,1,10,5,0.248450899,0.389965458,0.001856978,0.186433584,0.173091142,2.0194e-4
Blood,1,11,6,0.388156134,0.387373561,0.006651869,0.122196142,0.095622293,0
Blood,1,12,6,0.159241228,0.356102552,0,0.217794616,0.266409486,4.52118e-4
IEL,4,1,1,0.0127,0.0892,0.696,0.0051,0.0263,0.163
IEL,4,2,1,0.0101,0.0754,0.668,0.0055,0.0432,0.188
IEL,4,3,2,0.009,0.0912,0.692,0.006,0.0286,0.163
IEL,4,4,2,0.0103,0.0878,0.67,0.0103,0.0654,0.143
IEL,4,5,3,0.0115,0.0813,0.733,0.0071,0.0256,0.136
IEL,4,6,3,0.0251,0.0884,0.649,0.039,0.0485,0.137
IEL,4,7,4,0,0.0778,0.532,0,0.0428,0.336
IEL,4,8,4,8.7e-4,0.0649,0.739,0,0.0251,0.145
IEL,1,9,5,0.0019,0.0614,0.927,6.5e-4,0.0032,0.0045
IEL,1,10,5,0.002,0.0763,0.863,0,0.0081,0.025
IEL,1,11,6,0.0035,0.0717,0.908,0.0027,0.0062,0.0088
IEL,1,12,6,0.0017,0.105,0.814,0,0.0336,0.0227
Blood,8,13,7,0.464413084,0.307037222,0,0.170498072,0.057823073,2.2855e-4
Blood,8,14,7,0.153477992,0.137460365,4.07721e-4,0.237996435,0.470309372,3.48114e-4
Blood,8,15,8,0.411700753,0.31058127,0,0.16885253,0.108865447,0
Blood,8,16,8,0.254780932,0.139833256,6.32015e-4,0.349642099,0.25467011,4.4159e-4
Blood,8,17,9,0.301682634,0.298665808,0.002413461,0.21093343,0.186304668,0
Blood,8,18,9,0.285527476,0.183620466,5.16579e-4,0.319440845,0.210661155,2.33478e-4
IEL,8,15,8,0.02,0.04,0.78,0,0,0.02
IEL,8,16,8,0,0.0443,0.0443,0,0.0296,0.365
IEL,8,17,9,0,0.0759,0.593,0.0138,0.0276,0.0414
IEL,8,18,9,0,0,0,0,0.121,0.288
Blood,12,19,10,0.274709849,0.321626587,0.01864323,0.25167746,0.126608386,0.006734489
Blood,12,20,10,0.365197251,0.132708291,0,0.287975564,0.213464404,6.5449e-4
Blood,12,21,11,0.450851867,0.274431571,5.08207e-4,0.166627762,0.107059023,5.2157e-4
Blood,12,22,11,0.279371302,0.063807026,0.001000218,0.520446338,0.135197914,1.77201e-4
Blood,12,23,12,0.458525862,0.375771655,0.008106535,0.072966924,0.084629025,0
Blood,12,24,12,0.137567645,0.061805753,0,0.539185718,0.260766902,6.73982e-4
Blood,12,25,13,0.479455646,0.13875719,9.91123e-4,0.279885091,0.100910951,0
Blood,12,26,13,0.277725859,0.10601983,4.99369e-4,0.461569708,0.154061985,1.2325e-4
IEL,12,19,10,0.0064,0.0354,0.644,0.0032,0.0056,0.215
IEL,12,20,10,0,0.0038,0.249,0,0.0189,0.423
IEL,12,21,11,0.0022,0.0261,0.778,0,0.0087,0.0913
IEL,12,22,11,0,0.0112,0.43,0.0089,0.0179,0.441
IEL,12,23,12,0,0.0511,0.657,0.0073,0.0073,0.109
IEL,12,24,12,0.0141,0.0056,0.279,0.0056,0.0254,0.448
IEL,12,26,13,0.0118,0.0471,0.306,0,0.0588,0.459
Blood,12,27,14,0.270388453,0.232624702,8.55978e-4,0.224679879,0.268822283,0.002628705
Blood,12,28,14,0.25584277,0.152277616,0.001023371,0.420708816,0.169821984,3.25443e-4
Blood,12,29,15,0.465862232,0.140912696,5.10201e-4,0.294536154,0.098178718,0
Blood,12,30,15,0.291550249,0.183886268,0.001000418,0.312324679,0.210661948,5.76438e-4
Blood,12,31,16,0.525751903,0.129466406,0.001511537,0.262127334,0.080628172,5.14648e-4
Blood,12,32,16,0.121229299,0.334298976,0.003719535,0.147559738,0.392769303,4.23149e-4
IEL,12,29,15,0.0038,0.0088,0.698,0.0038,0.0101,0.269
IEL,12,30,15,0.0065,0.0327,0.627,0.0065,0.0261,0.248
IEL,12,32,16,0.0039,0.026,0.517,0.0077,0.0308,0.404
Blood,8,33,17,0.436904333,0.256307947,0.001250283,0.197071647,0.10846579,0
Blood,8,34,17,0.168462953,0.101077772,0,0.462158636,0.267642501,6.58137e-4
Blood,8,35,18,0.354036755,0.16814135,0,0.215519227,0.261394716,9.07952e-4
Blood,8,36,18,0.209265268,0.141850953,0,0.513659123,0.134900376,3.2428e-4
Blood,8,37,19,0.497235535,0.124776797,0.001497322,0.149090177,0.227400169,0
Blood,8,38,19,0.163364597,0.09258182,4.61627e-4,0.607098869,0.136150849,3.42237e-4
IEL,8,33,17,0.0173,0.0599,0.398,0.0051,0.0183,0.462
IEL,8,34,17,0.0032,0.0069,0.186,0.0095,0.0291,0.753
IEL,8,35,18,0.0055,0.0195,0.319,0.003,0.0175,0.609
IEL,8,36,18,0.0042,0.01,0.184,0.0074,0.0238,0.754
IEL,8,37,19,0.0095,0.0076,0.0795,0,0.0133,0.778
IEL,8,38,19,0.0017,0.0046,0.0868,0.0046,0.0172,0.88
Blood,2,39,20,0.303330482,0.175561051,0.007753946,0.411961622,0.101192568,2.0033e-4
Blood,2,40,20,0.471585541,0.257428499,0.004840536,0.179630198,0.083561307,0.002953919
Blood,2,41,21,0.198767156,0.292450429,0.004560244,0.227895882,0.276007235,3.19054e-4
Blood,2,42,21,0.397781016,0.31279728,0.0033565,0.19681286,0.089252343,0
Blood,2,43,22,0.092323314,0.302220764,0,0.240853104,0.364023552,5.79267e-4
Blood,2,44,22,0.146747199,0.648734887,0.006976506,0.058059756,0.132510531,0.00697112
