tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
BoneMarrow,4,1,1,0.048630977,0.371475276,0.074785452,0.067429506,0.34859011,0.06906416
BoneMarrow,4,2,1,0.028602267,0.242309768,0.268753373,0.023745278,0.235833783,0.19158122
BoneMarrow,4,3,2,0.030763791,0.200141443,0.119872702,0.047736917,0.25990099,0.3281471
BoneMarrow,4,4,2,0.045712379,0.260927594,0.235902569,0.017350684,0.227894561,0.201868535
BoneMarrow,4,5,3,0.058225869,0.20437671,0.159046503,0.082844861,0.275107464,0.202813599
BoneMarrow,4,6,3,0.041480536,0.358647096,0.394384174,0.02744097,0.15252074,0.01531589
BoneMarrow,4,7,4,0.05408971,0.276385224,0.162269129,0.066622691,0.25,0.17414248
BoneMarrow,4,8,4,0.039966694,0.129891757,0.17152373,0.038301415,0.204412989,0.409658618
BoneMarrow,1,9,5,0.068905364,0.463148713,0.111644134,0.064108155,0.247274313,0.023986044
BoneMarrow,1,10,5,0.147435897,0.360683761,0.123504274,0.057692308,0.263247863,0.016666667
BoneMarrow,1,11,6,0.138522427,0.427440633,0.137203166,0.069920844,0.187994723,0.014511873
BoneMarrow,1,12,6,0.117759389,0.348822406,0.159134309,0.08529599,0.233609166,0.029280713
