tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
FRT,4,1,1,0.040179686,0.399800349,0.073621163,0.040928375,0.387072623,0.045670077
FRT,4,2,1,0.036425577,0.390199161,0.04769392,0.036425577,0.407494759,0.069706499
FRT,4,3,2,0.017699115,0.121681416,0.404867257,0.019911504,0.10619469,0.329646018
FRT,4,4,2,0.035460993,0.222222222,0.342789598,0.063829787,0.137115839,0.191489362
FRT,4,5,3,0.012781955,0.084962406,0.202255639,0.012030075,0.128571429,0.555639098
FRT,4,6,3,0.014705882,0.279411765,0.625,0.029411765,0.039215686,0.009803922
FRT,4,7,4,0.044973545,0.182539683,0.386243386,0.026455026,0.12962963,0.227513228
FRT,4,8,4,0.005736138,0.105162524,0.351816444,0.009560229,0.12332696,0.405353728
FRT,1,9,5,0.022292994,0.423566879,0.457006369,0.006369427,0.042993631,0.050955414
FRT,1,10,5,0.085106383,0.29787234,0.553191489,0.042553191,0.021276596,0
FRT,1,11,6,0.101123596,0.382022472,0.292134831,0.033707865,0.101123596,0.08988764
FRT,1,12,6,0.067961165,0.252427184,0.54368932,0.048543689,0.077669903,0.009708738
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
