tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
IEL,4,1,1,0.00076098,0.138744746,0.836258878,0.000558052,0.004413683,0.017343093
IEL,4,2,1,0.001287336,0.206740711,0.678590504,0.001232556,0.039126803,0.069461373
IEL,4,3,2,0.000929783,0.127416977,0.834773885,0.000880847,0.007835869,0.025275418
IEL,4,4,2,0.000946573,0.120962897,0.841769354,0.000821874,0.004766871,0.028272477
IEL,4,5,3,0.002385172,0.252430722,0.687111788,0.001142895,0.015404237,0.038013682
IEL,4,6,3,0.002787845,0.282534151,0.670839141,0.003387232,0.012684695,0.024170616
IEL,4,7,4,0.000310718,0.161473245,0.819118006,0.000221941,0.004327851,0.011884946
IEL,4,8,4,9.88761E-05,0.240565571,0.6910616,0.000115355,0.018572229,0.045532448
IEL,1,9,5,0.000467798,0.150316003,0.844013137,0.000458251,0.001212457,0.000792393
IEL,1,10,5,0.002032113,0.197925909,0.780817997,0.000934963,0.004608031,0.009225603
IEL,1,11,6,0.001173281,0.215838156,0.776302,0.000683465,0.001207454,0.001469449
IEL,1,12,6,0.001241787,0.300697515,0.675118454,0.000678139,0.006869463,0.009053599
