tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Kidney,4,1,1,0.009972171,0.404684601,0.230983302,0.009972171,0.278988868,0.061920223
Kidney,4,2,1,0.018009824,0.287611424,0.199199563,0.01546298,0.320174641,0.159541568
Kidney,4,3,2,0.007050011,0.230226922,0.353161489,0.004185944,0.193214364,0.210839392
Kidney,4,4,2,0.013123596,0.216269663,0.251505618,0.009258427,0.22211236,0.286202247
Kidney,4,5,3,0.001064679,0.067207879,0.29664626,0.001597019,0.091828587,0.541522491
Kidney,4,6,3,0.041152263,0.384773663,0.198445359,0.028120713,0.320301783,0.025834476
Kidney,4,7,4,0.014110058,0.46926023,0.107841161,0.014916348,0.315863737,0.077403749
Kidney,4,8,4,0.010588918,0.200464172,0.205976211,0.009428489,0.266898753,0.303597331
Kidney,1,9,5,0.018897638,0.558792651,0.127559055,0.017060367,0.266666667,0.008136483
Kidney,1,10,5,0.020551039,0.430442638,0.202800361,0.015582656,0.304878049,0.022809395
Kidney,1,11,6,0.037989901,0.487857658,0.263524886,0.015147872,0.187064198,0.005770618
Kidney,1,12,6,0.043821006,0.384651055,0.196846742,0.040575006,0.316716902,0.012752145
