tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Liver,4,1,1,0.021454112,0.345138771,0.162268006,0.026051422,0.307849481,0.121573302
Liver,4,2,1,0.034811636,0.280559529,0.085677953,0.029725004,0.348434271,0.207280242
Liver,4,3,2,0.037348273,0.224867725,0.214285714,0.053999378,0.214285714,0.241051976
Liver,4,4,2,0.059346204,0.283238262,0.098069329,0.035103115,0.321741992,0.183962264
Liver,4,5,3,0.018404908,0.117939497,0.154220436,0.021049291,0.152845356,0.525597631
Liver,4,6,3,0.057384342,0.284845789,0.267200474,0.043594306,0.263641756,0.064798339
Liver,4,7,4,0.120525553,0.283260915,0.050796607,0.099317194,0.201427685,0.216739085
Liver,4,8,4,0.054510504,0.22380887,0.05849238,0.064945764,0.38706577,0.185225868
Liver,1,9,5,0.104756718,0.450980392,0.119825708,0.076434277,0.209513435,0.007988381
Liver,1,10,5,0.099311137,0.348067356,0.185227708,0.050899349,0.285112897,0.010715653
Liver,1,11,6,0.102605863,0.455095393,0.127966496,0.06514658,0.195905072,0.017682643
Liver,1,12,6,0.112414467,0.33121538,0.122841316,0.079830564,0.310524601,0.008308895
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
