tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
MLN,4,1,1,0.020021763,0.436343852,0.072470076,0.017845484,0.399347116,0.041784548
MLN,4,2,1,0.007913897,0.428300095,0.056980057,0.010446344,0.418486863,0.073440962
MLN,4,3,2,0.009231605,0.425468368,0.072223731,0.0122183,0.433070866,0.042356774
MLN,4,4,2,0.023754789,0.442401022,0.037803321,0.011749681,0.427841635,0.0449553
MLN,4,5,3,0.010861133,0.435608999,0.068269977,0.017455392,0.397982933,0.060512025
MLN,4,6,3,0.022810476,0.402140242,0.054069276,0.028724303,0.424387496,0.05519572
MLN,4,7,4,0.016492357,0.432153392,0.066371681,0.01944221,0.403459372,0.04813623
MLN,4,8,4,0.026547117,0.301511955,0.029008439,0.042018284,0.517405063,0.066983122
MLN,1,10,5,0.032559313,0.409893993,0.078748107,0.021958607,0.410146391,0.035588087
MLN,1,11,6,0.018573551,0.596582467,0.066864785,0.008172363,0.282317979,0.018945022
MLN,1,12,6,0.0710568,0.357546956,0.058836841,0.073772347,0.389680923,0.035302105
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
Blood,8,14,7,0.256108469,0.063950888,0.001219661,0.549802821,0.124019189,0.003780949
