tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Muscle,4,1,1,0.094619666,0.310760668,0.105751391,0.104823748,0.282931354,0.098330241
Muscle,4,2,1,0.04475043,0.352839931,0.094664372,0.036144578,0.327022375,0.139414802
Muscle,4,3,2,0.250176379,0.164526598,0.07859461,0.260335826,0.170594045,0.065189784
Muscle,4,4,2,0.079439252,0.294392523,0.196261682,0.060747664,0.278504673,0.089719626
Muscle,4,5,3,0.077062011,0.288380494,0.120409392,0.076459964,0.26730885,0.161950632
Muscle,4,6,3,0.069444444,0.337121212,0.316919192,0.044191919,0.198232323,0.034090909
Muscle,4,7,4,0.034180139,0.531177829,0.07852194,0.027713626,0.294688222,0.030023095
Muscle,4,8,4,0.016483516,0.141636142,0.252136752,0.022588523,0.213064713,0.35042735
Muscle,1,9,5,0.191969887,0.338770389,0.130489335,0.138017566,0.156838143,0.038895859
Muscle,1,10,5,0.209324453,0.292102759,0.114176974,0.153187441,0.196003806,0.032350143
Muscle,1,11,6,0.150165017,0.425742574,0.105610561,0.085808581,0.161716172,0.066006601
Muscle,1,12,6,0.080133556,0.322203673,0.424040067,0.053422371,0.080133556,0.033388982
