tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
PP,4,1,1,0.0135997,0.210091915,0.647064341,0.01266179,0.088444945,0.02269743
PP,4,2,1,0.067843632,0.182849937,0.486759142,0.063303909,0.132912989,0.056494325
PP,4,3,2,0.055644902,0.194274686,0.530395626,0.05789643,0.124155677,0.030556449
PP,4,4,2,0.113071371,0.141940658,0.464314354,0.122293504,0.118684844,0.031676022
PP,4,5,3,0.088068182,0.213778409,0.415482955,0.07421875,0.137073864,0.061434659
PP,4,6,3,0.11433521,0.185361628,0.40753573,0.150714595,0.099610221,0.030749242
PP,4,7,4,0.194773377,0.187627603,0.395467538,0.11923234,0.074520212,0.014495713
PP,4,8,4,0.124561404,0.164561404,0.287719298,0.165614035,0.203157895,0.038596491
PP,1,9,5,0.184620376,0.149902661,0.48247891,0.123296561,0.040882544,0.010382868
PP,1,10,5,0.212885154,0.109752992,0.429590018,0.169085816,0.056786351,0.013496308
PP,1,11,6,0.343094579,0.147605857,0.253264741,0.18638702,0.04946577,0.010684606
PP,1,12,6,0.181398152,0.12294094,0.425070309,0.192245882,0.056448373,0.012655685
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
