tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Skin,4,1,1,0.018214936,0.142076503,0.324225865,0.02003643,0.122040073,0.371584699
Skin,4,2,1,0.03030303,0.393939394,0.242424242,0.045454545,0.212121212,0.090909091
Skin,4,3,2,0.011204482,0.078431373,0.204481793,0.022408964,0.106442577,0.574229692
Skin,4,4,2,0.014336918,0.247311828,0.623655914,0.010752688,0.068100358,0.035842294
Skin,4,5,3,0.054878049,0.304878049,0.274390244,0.036585366,0.195121951,0.12804878
Skin,4,6,3,0.010204082,0.071428571,0.275510204,0.010204082,0.183673469,0.43877551
Skin,4,7,4,0.139414802,0.378657487,0.247848537,0.036144578,0.111876076,0.082616179
Skin,4,8,4,0.040540541,0.412162162,0.216216216,0.033783784,0.283783784,0.013513514
Skin,1,9,5,0.127906977,0.406976744,0.151162791,0.046511628,0.26744186,0
Skin,1,10,5,0.167315175,0.316731518,0.080933852,0.176653696,0.221011673,0.031906615
Skin,1,11,6,0.041666667,0.177083333,0.375,0.038194444,0.138888889,0.21875
Skin,1,12,6,0.059459459,0.291891892,0.172972973,0.091891892,0.237837838,0.140540541
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
