tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
Spleen,4,1,1,0.080938891,0.399568326,0.019425334,0.092944827,0.37811952,0.013489815
Spleen,4,2,1,0.085602158,0.379936228,0.011528084,0.072111847,0.410350748,0.02747118
Spleen,4,3,2,0.074294205,0.384472511,0.034175334,0.100297177,0.356983655,0.033060921
Spleen,4,4,2,0.115900878,0.345379453,0.025296851,0.099638616,0.363448632,0.032266391
Spleen,4,5,3,0.099679744,0.382305845,0.033226581,0.101281025,0.341473179,0.022818255
Spleen,4,6,3,0.130286202,0.346860316,0.026484408,0.11277232,0.332763776,0.032464759
Spleen,4,7,4,0.143206039,0.413188277,0.034191829,0.107238011,0.253108348,0.028197158
Spleen,4,8,4,0.148326801,0.241181791,0.022610793,0.205305999,0.312330419,0.050949653
Spleen,1,9,5,0.170360988,0.422735909,0.045915136,0.117796073,0.209943002,0.018366054
Spleen,1,10,5,0.223266447,0.297942596,0.042926086,0.16002032,0.241300483,0.018542037
Spleen,1,11,6,0.21763285,0.41884058,0.041062802,0.116908213,0.184541063,0.010144928
Spleen,1,12,6,0.239373602,0.247651007,0.036689038,0.226845638,0.204026846,0.029082774
