tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,4,1,1,0.451212738,0.08665062,0.002406962,0.395297167,0.061655249,0.001481207
Blood,4,2,1,0.408374472,0.061381074,0.001367989,0.460952834,0.064414441,0.002735978
Blood,4,3,2,0.438077893,0.08048473,0.003082096,0.379097786,0.097226114,0.001330905
Blood,4,4,2,0.369249597,0.110585748,0.001780052,0.434221505,0.079768593,0.002948212
Blood,4,5,3,0.455214724,0.070143149,0.00204499,0.396523517,0.072188139,0.003271984
Blood,4,6,3,0.405228758,0.108553566,0.005683433,0.414748508,0.064364876,0.000852515
Blood,4,7,4,0.50981574,0.102720854,0.004391252,0.308937489,0.069743413,0.001033236
Blood,4,8,4,0.291262136,0.091735126,0.001493652,0.489917849,0.118745332,0.004854369
Blood,1,9,5,0.543358109,0.083952735,0.001238803,0.332285115,0.036973509,0.000952925
Blood,1,10,5,0.455897038,0.058027294,0.001109508,0.445467658,0.037723289,0.001109508
Blood,1,11,6,0.601593625,0.056915196,0.003699488,0.31374502,0.023050655,0.000284576
Blood,1,12,6,0.41208021,0.065094167,0.002559883,0.463034071,0.05107576,0.001584689
WAT,4,1,1,0.048134777,0.317689531,0.371841155,0.037304452,0.178098676,0.045728039
WAT,4,2,1,0.090277778,0.324074074,0.141203704,0.06712963,0.337962963,0.032407407
WAT,4,3,2,0.0472103,0.243562232,0.177038627,0.041845494,0.241416309,0.248927039
WAT,4,4,2,0.030232558,0.43255814,0.297674419,0.01627907,0.202325581,0.018604651
WAT,4,5,3,0.024978467,0.122308355,0.403962102,0.018949182,0.131782946,0.29543497
WAT,4,6,3,0.024301337,0.227217497,0.334143378,0.025516403,0.170109356,0.216281896
WAT,4,7,4,0.105398458,0.453727506,0.056269637,0.064695801,0.27963439,0.0288489
WAT,4,8,4,0.111232577,0.226291336,0.043454496,0.150314294,0.370319759,0.091828368
WAT,1,9,5,0.106891702,0.538677918,0.216596343,0.032348805,0.090014065,0.014064698
WAT,1,10,5,0.123584906,0.33490566,0.240566038,0.093396226,0.181132075,0.019811321
WAT,1,11,6,0.29,0.27,0.215,0.15,0.07,0
WAT,1,12,6,0.100490196,0.330882353,0.299019608,0.115196078,0.137254902,0.014705882
Blood,8,13,7,0.626292518,0.070213169,0.002047382,0.266899506,0.03210433,0.000757015
