tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
BoneMarrow,4,1,1,0.084935897,0.482371795,0.193910256,0.052884615,0.150106838,0.035790598
BoneMarrow,4,2,1,0.156279962,0.280920422,0.220517737,0.060402685,0.18696069,0.084372004
BoneMarrow,4,3,2,0.124887691,0.357142857,0.344564241,0.049865229,0.07277628,0.048966757
BoneMarrow,4,4,2,0.196969697,0.226381462,0.218360071,0.081105169,0.157754011,0.112299465
BoneMarrow,4,5,3,0.095379147,0.318720379,0.316943128,0.098341232,0.116706161,0.05035545
BoneMarrow,4,6,3,0.287260616,0.3122398,0.256452956,0.052456286,0.049125729,0.038301415
BoneMarrow,4,7,4,0.165394402,0.388804071,0.16692112,0.108905852,0.099236641,0.061577608
BoneMarrow,4,8,4,0.25390625,0.172265625,0.41015625,0.039453125,0.054296875,0.06484375
BoneMarrow,1,9,5,0.315295815,0.316738817,0.252525253,0.057720058,0.019480519,0.02958153
BoneMarrow,1,10,5,0.328397213,0.220383275,0.263066202,0.068815331,0.079268293,0.033972125
BoneMarrow,1,11,6,0.278438031,0.431239389,0.200339559,0.037351443,0.036502547,0.01188455
BoneMarrow,1,12,6,0.3151341,0.27394636,0.249042146,0.052681992,0.083333333,0.022030651
BoneMarrow,8,13,7,0.222416303,0.176419214,0.282969432,0.158369723,0.032896652,0.122561863
BoneMarrow,8,14,7,0.150892047,0.178409435,0.476867251,0.065013607,0.033565165,0.094950106
BoneMarrow,8,15,8,0.133624879,0.191448008,0.314868805,0.12244898,0.05393586,0.182215743
BoneMarrow,8,16,8,0.197155468,0.167238843,0.434036292,0.06424718,0.041196665,0.093673369
BoneMarrow,8,17,9,0.153986333,0.171298405,0.369020501,0.107517084,0.033712984,0.164920273
BoneMarrow,8,18,9,0.130819093,0.210960519,0.487919859,0.042427814,0.040659988,0.090159104
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
