tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Brain,4,1,1,0.052884615,0.514423077,0.254807692,0.014423077,0.139423077,0.024038462
Brain,4,2,1,0.038216561,0.464968153,0.261146497,0.012738854,0.184713376,0.038216561
Brain,4,3,2,0.039393939,0.478787879,0.287878788,0.024242424,0.145454545,0.024242424
Brain,4,4,2,0.047138047,0.353535354,0.306397306,0.043771044,0.188552189,0.060606061
Brain,4,5,3,0.056768559,0.283842795,0.423580786,0.03930131,0.104803493,0.091703057
Brain,4,6,3,0.076521739,0.196521739,0.175652174,0.024347826,0.380869565,0.142608696
Brain,4,7,4,0.049418605,0.430232558,0.194767442,0.066860465,0.200581395,0.058139535
Brain,4,8,4,0.116666667,0.266666667,0.45,0.016666667,0.083333333,0.061111111
Brain,1,9,5,0.064735945,0.458262351,0.146507666,0.032367973,0.289608177,0.00681431
Brain,1,11,6,0.011532125,0.408566722,0.072487644,0.004942339,0.494233937,0.006589786
Brain,1,12,6,0.112068966,0.387931034,0.189655172,0.025862069,0.232758621,0.051724138
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Brain,8,13,7,0.035019455,0.256809339,0.525291829,0.054474708,0.044747082,0.089494163
Brain,8,14,7,0.077981651,0.363914373,0.362385321,0.029051988,0.029051988,0.145259939
Brain,8,15,8,0.054263566,0.166666667,0.550387597,0.104651163,0.023255814,0.100775194
Brain,8,16,8,0.05511811,0.275590551,0.44488189,0.051181102,0.059055118,0.118110236
Brain,8,17,9,0.174668874,0.095198675,0.376655629,0.153145695,0.031456954,0.171357616
Brain,8,18,9,0.059929495,0.486486486,0.277320799,0.022326675,0.035252644,0.12573443
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
