tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
FRT,4,1,1,0.016129032,0.625,0.237903226,0.016129032,0.072580645,0.028225806
FRT,4,2,1,0.019920319,0.386454183,0.195219124,0.017928287,0.274900398,0.103585657
FRT,4,3,2,0.040816327,0.514739229,0.365079365,0.040816327,0.022675737,0.013605442
FRT,4,4,2,0.063943162,0.374777975,0.197158082,0.04973357,0.294849023,0.019538188
FRT,4,5,3,0.035885167,0.380382775,0.488038278,0.038277512,0.033492823,0.023923445
FRT,4,6,3,0.062737643,0.302281369,0.374524715,0.045627376,0.169201521,0.043726236
FRT,4,7,4,0.033980583,0.446601942,0.345873786,0.063106796,0.049757282,0.058252427
FRT,4,8,4,0.027631579,0.169736842,0.651315789,0.007236842,0.098026316,0.045394737
FRT,1,9,5,0.013666072,0.154486037,0.796197267,0.011883541,0.011883541,0.012477718
FRT,1,10,5,0.014900662,0.334437086,0.597682119,0.006622517,0.043046358,0.003311258
FRT,1,11,6,0.047738693,0.570351759,0.35678392,0.005025126,0.015075377,0.005025126
FRT,1,12,6,0.041509434,0.098113208,0.728301887,0.022641509,0.067924528,0.041509434
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
FRT,8,13,7,0.004310345,0.093390805,0.693965517,0.021551724,0.020114943,0.168103448
FRT,8,14,7,0.063253012,0.201807229,0.573795181,0.028614458,0.042168675,0.090361446
FRT,8,15,8,0.01010101,0.232323232,0.464646465,0.026936027,0.033670034,0.235690236
FRT,8,16,8,0.043875686,0.18464351,0.574040219,0.02559415,0.074954296,0.098720293
FRT,8,17,9,0.009345794,0.364485981,0.579439252,0,0.023364486,0.028037383
FRT,8,18,9,0.054368932,0.293203883,0.45631068,0.044660194,0.069902913,0.081553398
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
