tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Kidney,4,1,1,0.020205871,0.57491422,0.152878384,0.038124285,0.186427754,0.024780785
Kidney,4,2,1,0.059448463,0.473101266,0.192811935,0.0420434,0.175632911,0.056283906
Kidney,4,3,2,0.0410691,0.537483703,0.244458931,0.044002608,0.092894394,0.0410691
Kidney,4,4,2,0.058068615,0.489580686,0.188310038,0.049174079,0.159720457,0.054891995
Kidney,4,5,3,0.010800196,0.612174767,0.298478154,0.010800196,0.04958272,0.018654885
Kidney,4,6,3,0.116683726,0.368474923,0.261003071,0.075742068,0.116683726,0.060388946
Kidney,4,7,4,0.054560649,0.599212034,0.090019102,0.060410697,0.160816619,0.033787011
Kidney,4,8,4,0.099505999,0.358503881,0.188661491,0.056457304,0.23288638,0.061397318
Kidney,1,9,5,0.111642743,0.512280702,0.131100478,0.109409888,0.113556619,0.019776715
Kidney,1,10,5,0.117015968,0.437874251,0.228792415,0.064371257,0.131986028,0.018213573
Kidney,1,11,6,0.088308458,0.625207297,0.211028192,0.03358209,0.032131012,0.008913765
Kidney,1,12,6,0.081910352,0.482390608,0.201440768,0.10058698,0.104589114,0.028815368
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Kidney,8,13,7,0.203125,0.138392857,0.220982143,0.28125,0.051339286,0.104910714
Kidney,8,14,7,0.135526316,0.118421053,0.481578947,0.106578947,0.036842105,0.125
Kidney,8,15,8,0.278481013,0.168776371,0.240506329,0.202531646,0.046413502,0.05907173
Kidney,8,16,8,0.237903226,0.120967742,0.213709677,0.185483871,0.149193548,0.096774194
Kidney,8,17,9,0.19047619,0.130952381,0.25,0.238095238,0.047619048,0.134920635
Kidney,8,18,9,0.208092486,0.075144509,0.317919075,0.23699422,0.075144509,0.086705202
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
