tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Liver,4,1,1,0.019417476,0.436199723,0.364424411,0.025312067,0.12482663,0.026352288
Liver,4,2,1,0.08922956,0.274371069,0.328616352,0.04677673,0.197327044,0.04913522
Liver,4,3,2,0.078316327,0.258673469,0.454846939,0.082653061,0.081122449,0.039030612
Liver,4,4,2,0.146518106,0.225069638,0.232033426,0.084958217,0.246796657,0.051810585
Liver,4,5,3,0.075911312,0.243517475,0.423524991,0.079669297,0.115370162,0.052236002
Liver,4,6,3,0.123800608,0.244558858,0.318511584,0.074420782,0.162181137,0.067399953
Liver,4,7,4,0.18514551,0.259417961,0.179610784,0.219068024,0.095875736,0.044099268
Liver,4,8,4,0.197928026,0.217284624,0.22519084,0.083969466,0.215103599,0.042257361
Liver,1,9,5,0.137704055,0.345971564,0.334649816,0.097946288,0.065824118,0.012111638
Liver,1,10,5,0.188118812,0.200792079,0.325148515,0.106534653,0.136237624,0.030891089
Liver,1,11,6,0.206811451,0.360315893,0.309970385,0.059723593,0.030108588,0.023198421
Liver,1,12,6,0.129906542,0.250934579,0.236448598,0.13411215,0.211682243,0.031308411
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Liver,8,13,7,0.158636898,0.078730905,0.321974148,0.291421857,0.017626322,0.133960047
Liver,8,14,7,0.275067469,0.100477476,0.22285655,0.21081586,0.107847208,0.080755657
Liver,8,15,8,0.215635638,0.159173612,0.35696678,0.186759009,0.02136401,0.059396643
Liver,8,16,8,0.209325562,0.12572856,0.24704413,0.192173189,0.135720233,0.089841799
Liver,8,17,9,0.146964856,0.172889092,0.408489274,0.177088088,0.019990872,0.072934733
Liver,8,18,9,0.237817157,0.107933951,0.28956907,0.170761176,0.104712042,0.089810713
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
