tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
LN,4,1,1,0.030612245,0.469387755,0.153061224,0.040816327,0.173469388,0.132653061
LN,4,2,1,0.019417476,0.378640777,0.203883495,0.038834951,0.174757282,0.184466019
LN,4,3,2,0.037383178,0.23364486,0.420560748,0.046728972,0.196261682,0.065420561
LN,4,5,3,0.031578947,0.315789474,0.263157895,0.094736842,0.2,0.094736842
LN,4,7,4,0.072580645,0.379032258,0.10483871,0.080645161,0.274193548,0.088709677
LN,4,8,4,0.171875,0.3359375,0.1875,0.0546875,0.140625,0.109375
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
LN,8,13,7,0.157894737,0.157894737,0.315789474,0.135338346,0.04887218,0.184210526
LN,8,14,7,0.125,0.101027397,0.419520548,0.077054795,0.080479452,0.196917808
LN,8,15,8,0.05027933,0.173184358,0.430167598,0.100558659,0.067039106,0.17877095
LN,8,16,8,0.122727273,0.111363636,0.479545455,0.075,0.065909091,0.143181818
LN,8,17,9,0.073964497,0.189349112,0.325443787,0.071005917,0.059171598,0.284023669
LN,8,18,9,0.106575964,0.072562358,0.494331066,0.058956916,0.072562358,0.197278912
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
Blood,12,21,11,0.424672489,0.079694323,0.055070354,0.361475012,0.026322174,0.049369238
Blood,12,22,11,0.350463822,0.036549165,0.066975881,0.363636364,0.101113173,0.071057514
Blood,12,23,12,0.480379747,0.133333333,0.060126582,0.258649789,0.035232068,0.031012658
Blood,12,24,12,0.277518131,0.031265109,0.0544722,0.431587429,0.112167607,0.090249799
Blood,12,25,13,0.407338597,0.095680446,0.033906177,0.391082211,0.039015327,0.024616814
