tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
MLN,4,1,1,0.02027027,0.452702703,0.412162162,0.013513514,0.060810811,0.040540541
MLN,4,3,2,0.015384615,0.507692308,0.292307692,0.030769231,0.123076923,0.030769231
MLN,4,4,2,0.044776119,0.417910448,0.358208955,0.029850746,0.134328358,0.029850746
MLN,4,5,3,0,0.341463415,0.512195122,0,0.097560976,0.048780488
MLN,4,6,3,0.065217391,0.456521739,0.282608696,0.02173913,0.152173913,0.02173913
MLN,4,7,4,0.01980198,0.356435644,0.495049505,0.00990099,0.069306931,0.04950495
MLN,4,8,4,0.117647059,0.411764706,0.264705882,0.044117647,0.088235294,0.088235294
MLN,1,10,5,0,0.547619048,0.357142857,0,0.071428571,0.023809524
MLN,1,12,6,0.096153846,0.423076923,0.288461538,0.019230769,0.115384615,0.057692308
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
MLN,8,13,7,0.093023256,0.215116279,0.436046512,0.087209302,0.011627907,0.156976744
MLN,8,14,7,0.143646409,0.116022099,0.524861878,0.082872928,0.022099448,0.110497238
MLN,8,15,8,0.085365854,0.097560976,0.573170732,0.073170732,0.042682927,0.12804878
MLN,8,16,8,0.161971831,0.098591549,0.524647887,0.070422535,0.028169014,0.11971831
MLN,8,17,9,0.051282051,0.066666667,0.574358974,0.087179487,0.020512821,0.194871795
MLN,8,18,9,0.103846154,0.073076923,0.626923077,0.038461538,0.034615385,0.123076923
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
Blood,12,21,11,0.424672489,0.079694323,0.055070354,0.361475012,0.026322174,0.049369238
Blood,12,22,11,0.350463822,0.036549165,0.066975881,0.363636364,0.101113173,0.071057514
