tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Muscle,4,1,1,0.186615187,0.392535393,0.216216216,0.077220077,0.07979408,0.045045045
Muscle,4,2,1,0.126353791,0.297833935,0.149819495,0.079422383,0.276173285,0.070397112
Muscle,4,3,2,0.054644809,0.307377049,0.404371585,0.045081967,0.077868852,0.109289617
Muscle,4,4,2,0.057387057,0.216117216,0.321123321,0.023199023,0.225885226,0.153846154
Muscle,4,5,3,0.003616637,0.338155515,0.52079566,0.016274864,0.048824593,0.072332731
Muscle,4,6,3,0.223130841,0.273364486,0.235981308,0.064252336,0.129672897,0.071261682
Muscle,4,7,4,0.076628352,0.422413793,0.192528736,0.078544061,0.152298851,0.077586207
Muscle,4,8,4,0.058542413,0.246117085,0.404221426,0.022301872,0.123058542,0.144563919
Muscle,1,9,5,0.039130435,0.553623188,0.346376812,0.02173913,0.024637681,0.015942029
Muscle,1,10,5,0.058992806,0.236690647,0.468345324,0.017985612,0.160431655,0.056834532
Muscle,1,11,6,0.063471503,0.422279793,0.433937824,0.018998273,0.02806563,0.031951641
Muscle,1,12,6,0.104058273,0.250780437,0.39698231,0.025494277,0.156087409,0.063995838
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Muscle,8,13,7,0.043303929,0.342421812,0.349639134,0.061748196,0.050521251,0.149157979
Muscle,8,14,7,0.101620029,0.180166912,0.484536082,0.0544919,0.052528228,0.127147766
Muscle,8,15,8,0.084313725,0.321568627,0.356862745,0.094117647,0.02745098,0.117647059
Muscle,8,16,8,0.087548638,0.212062257,0.467574578,0.040856031,0.053177691,0.141374838
Muscle,8,17,9,0.016574586,0.453038674,0.215469613,0.071823204,0.049723757,0.193370166
Muscle,8,18,9,0.064676617,0.482587065,0.235489221,0.03814262,0.077943615,0.099502488
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
