tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Pancreas,4,1,1,0.050341297,0.357508532,0.360921502,0.034129693,0.093003413,0.100682594
Pancreas,4,2,1,0.042397661,0.391812865,0.349415205,0.023391813,0.150584795,0.042397661
Pancreas,4,3,2,0.012658228,0.259493671,0.462025316,0.015822785,0.075949367,0.164556962
Pancreas,4,4,2,0.048878924,0.334080717,0.449775785,0.018834081,0.08161435,0.064125561
Pancreas,4,5,3,0.007155635,0.14490161,0.720930233,0.007155635,0.030411449,0.084078712
Pancreas,4,6,3,0.081661891,0.32234957,0.376790831,0.025787966,0.103151862,0.088825215
Pancreas,4,7,4,0.066711141,0.411607738,0.338892595,0.079386258,0.049366244,0.05203469
Pancreas,4,8,4,0.065703971,0.441877256,0.332129964,0.007942238,0.085198556,0.062815884
Pancreas,1,9,5,0.050219711,0.445072191,0.486503453,0.008160703,0.004394225,0.003138732
Pancreas,1,10,5,0.055306428,0.372197309,0.438714499,0.023916293,0.056053812,0.053064275
Pancreas,1,11,6,0.135261923,0.363565285,0.462861611,0.017200938,0.005473026,0.012509773
Pancreas,1,12,6,0.136531365,0.265682657,0.55904059,0.018450185,0.01199262,0.006457565
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Pancreas,8,13,7,0.074074074,0.259259259,0.374074074,0.103703704,0.02962963,0.159259259
Pancreas,8,14,7,0.098739496,0.115546218,0.514705882,0.048319328,0.029411765,0.199579832
Pancreas,8,15,8,0.065340909,0.207386364,0.511363636,0.068181818,0.051136364,0.096590909
Pancreas,8,16,8,0.067688378,0.146871009,0.518518519,0.042145594,0.039591315,0.187739464
Pancreas,8,17,9,0.117096019,0.159250585,0.519906323,0.070257611,0.023419204,0.110070258
Pancreas,8,18,9,0.115151515,0.103030303,0.557575758,0.082828283,0.014141414,0.127272727
