tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Skin,4,1,1,0.010465375,0.624137163,0.298819862,0.006012024,0.016922734,0.042529503
Skin,4,2,1,0.014314928,0.314928425,0.110429448,0.00408998,0.533742331,0.022494888
Skin,4,3,2,0.003066038,0.780424528,0.142216981,0.002358491,0.037971698,0.034198113
Skin,4,4,2,0.023168909,0.180119581,0.322869955,0.014947683,0.414798206,0.041106129
Skin,4,5,3,0.010599793,0.514219235,0.432523268,0.012668046,0.014994829,0.014994829
Skin,4,6,3,0.017391304,0.249275362,0.176811594,0.008695652,0.368115942,0.176811594
Skin,4,7,4,0.037393986,0.338858905,0.530840401,0.015805705,0.029298381,0.046646106
Skin,4,8,4,0.013525081,0.224447869,0.35867146,0.002739257,0.32117788,0.077726417
Skin,1,9,5,0.014534884,0.668023256,0.243023256,0.002616279,0.067732558,0.004069767
Skin,1,10,5,0.024137931,0.229064039,0.438916256,0.009359606,0.268965517,0.028571429
Skin,1,11,6,0.007756233,0.594459834,0.366204986,0.003878116,0.00498615,0.023268698
Skin,1,12,6,0.01881861,0.24673288,0.16675379,0.015682175,0.460533194,0.091479352
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Skin,8,13,7,0.033309196,0.297610427,0.430123099,0.027516293,0.037291818,0.174511224
Skin,8,14,7,0.011035208,0.315028902,0.382028376,0.006568576,0.082238571,0.204939569
Skin,8,15,8,0.013446568,0.311394197,0.28945506,0.016985138,0.085633404,0.283793347
Skin,8,16,8,0.009821429,0.210714286,0.450892857,0.009821429,0.158035714,0.160714286
Skin,8,17,9,0.05890538,0.117810761,0.243042672,0.081168831,0.105751391,0.393784787
Skin,8,18,9,0.010140406,0.370904836,0.288221529,0.008970359,0.199687988,0.122074883
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
