tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Spleen,4,1,1,0.056402439,0.390243902,0.158536585,0.099085366,0.266768293,0.028963415
Spleen,4,2,1,0.228448276,0.318965517,0.107758621,0.109913793,0.202586207,0.030172414
Spleen,4,3,2,0.109785203,0.341288783,0.140811456,0.167064439,0.214797136,0.028639618
Spleen,4,4,2,0.213235294,0.267156863,0.156862745,0.181372549,0.161764706,0.014705882
Spleen,4,5,3,0.122112211,0.346534653,0.118811881,0.191419142,0.191419142,0.02640264
Spleen,4,6,3,0.193717277,0.369109948,0.09947644,0.054973822,0.243455497,0.039267016
Spleen,4,7,4,0.135273973,0.35359589,0.082191781,0.220890411,0.188356164,0.02140411
Spleen,4,8,4,0.304635762,0.242384106,0.100662252,0.152317881,0.166887417,0.030463576
Spleen,1,9,5,0.105960265,0.471854305,0.170529801,0.086092715,0.144039735,0.021523179
Spleen,1,10,5,0.204819277,0.277108434,0.17383821,0.072289157,0.232358003,0.036144578
Spleen,1,11,6,0.166412214,0.564885496,0.109923664,0.059541985,0.073282443,0.022900763
Spleen,1,12,6,0.105860113,0.336483932,0.141776938,0.137996219,0.240075614,0.037807183
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Spleen,8,13,7,0.274991806,0.085873484,0.226155359,0.248115372,0.022615536,0.141265159
Spleen,8,14,7,0.293761815,0.032514178,0.266162571,0.228355388,0.072967864,0.106238185
Spleen,8,15,8,0.246933333,0.1424,0.2208,0.230933333,0.041066667,0.1168
Spleen,8,16,8,0.256379822,0.095548961,0.241543027,0.194658754,0.121068249,0.093175074
Spleen,8,17,9,0.226405868,0.13398533,0.204400978,0.240586797,0.048410758,0.144743276
Spleen,8,18,9,0.244889445,0.07217355,0.293700459,0.191489362,0.091364205,0.108051731
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
