tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,4,1,1,0.269774011,0.248587571,0.032015066,0.314500942,0.104519774,0.030131827
Blood,4,2,1,0.420088935,0.06539367,0.035574156,0.34318598,0.083180748,0.051268637
Blood,4,3,2,0.344754653,0.184433164,0.042301184,0.336928934,0.056472081,0.034052453
Blood,4,4,2,0.351356515,0.098395109,0.050630493,0.326518915,0.134505159,0.038020634
Blood,4,5,3,0.361904762,0.126817043,0.074185464,0.334837093,0.067669173,0.032080201
Blood,4,6,3,0.374301676,0.101873151,0.036148538,0.325994085,0.095957936,0.063752875
Blood,4,7,4,0.405905993,0.136117421,0.027433164,0.37655076,0.022016425,0.030753102
Blood,4,8,4,0.433668342,0.053015075,0.04321608,0.335929648,0.101507538,0.032160804
Blood,1,9,5,0.441202873,0.178635548,0.033213645,0.284111311,0.036355476,0.024685817
Blood,1,10,5,0.454050374,0.076923077,0.031313819,0.311095984,0.100068074,0.025187202
Blood,1,11,6,0.416931891,0.349458943,0.032463399,0.117759389,0.070019096,0.012094208
Blood,1,12,6,0.258431888,0.130968025,0.038107753,0.384581691,0.142356548,0.040297854
Thymus,4,2,1,0,0.29787234,0.617021277,0,0.085106383,0
Thymus,4,7,4,0.043478261,0.449275362,0.434782609,0.028985507,0.028985507,0.014492754
Thymus,4,8,4,0,0.333333333,0.606060606,0,0.060606061,0
Blood,8,13,7,0.320002342,0.113069446,0.060955615,0.348577117,0.058203537,0.095268767
Blood,8,14,7,0.374184856,0.052654271,0.116787928,0.302021019,0.08515225,0.068984101
Blood,8,15,8,0.345240491,0.165828134,0.07285168,0.289997988,0.05333065,0.067518615
Blood,8,16,8,0.316758379,0.035417709,0.114207104,0.333966983,0.089144572,0.111355678
Blood,8,17,9,0.263019694,0.139080963,0.073785558,0.343019694,0.068621444,0.110547046
Blood,8,18,9,0.363590678,0.05289277,0.131226836,0.275394183,0.105220177,0.072366355
Thymus,8,13,7,0,0.366666667,0.5,0,0.033333333,0.1
Thymus,8,14,7,0.211538462,0.102564103,0.448717949,0.070512821,0.057692308,0.108974359
Thymus,8,15,8,0.088888889,0.2,0.4,0.022222222,0.022222222,0.266666667
Thymus,8,16,8,0.079470199,0.105960265,0.490066225,0.01986755,0.052980132,0.251655629
Thymus,8,17,9,0.071428571,0.214285714,0.404761905,0.119047619,0.023809524,0.142857143
Thymus,8,18,9,0.094594595,0.202702703,0.513513514,0,0.067567568,0.121621622
Blood,12,19,10,0.240077589,0.121008654,0.052372426,0.492987168,0.044911967,0.046254849
Blood,12,20,10,0.534726368,0.08358209,0.035621891,0.258507463,0.064676617,0.021691542
Blood,12,21,11,0.424672489,0.079694323,0.055070354,0.361475012,0.026322174,0.049369238
Blood,12,22,11,0.350463822,0.036549165,0.066975881,0.363636364,0.101113173,0.071057514
Blood,12,23,12,0.480379747,0.133333333,0.060126582,0.258649789,0.035232068,0.031012658
Blood,12,24,12,0.277518131,0.031265109,0.0544722,0.431587429,0.112167607,0.090249799
Blood,12,25,13,0.407338597,0.095680446,0.033906177,0.391082211,0.039015327,0.024616814
Blood,12,26,13,0.414483087,0.031919962,0.036207718,0.387803716,0.085755121,0.038589805
Thymus,12,19,10,0.081632653,0.244897959,0.224489796,0.142857143,0.142857143,0.142857143
Thymus,12,20,10,0.058252427,0.291262136,0.417475728,0,0.087378641,0.145631068
Thymus,12,22,11,0.118110236,0.133858268,0.37007874,0.05511811,0.078740157,0.25984252
