tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
BoneMarrow,4,1,1,0.10880829,0.286010363,0.304663212,0.076683938,0.198963731,0.016580311
BoneMarrow,4,2,1,0.042857143,0.223376623,0.479220779,0.04025974,0.176623377,0.032467532
BoneMarrow,4,3,2,0.046136101,0.232987313,0.339100346,0.061130334,0.262975779,0.053056517
BoneMarrow,4,4,2,0.067996374,0.3118767,0.251133273,0.043517679,0.289211242,0.027198549
BoneMarrow,4,5,3,0.181988743,0.232645403,0.275797373,0.117260788,0.158536585,0.026266417
BoneMarrow,4,6,3,0.043806647,0.255287009,0.516616314,0.036253776,0.140483384,0.004531722
BoneMarrow,4,7,4,0.020634921,0.257142857,0.528571429,0.007936508,0.150793651,0.034920635
BoneMarrow,4,8,4,0.01079414,0.151888975,0.538936006,0.01310717,0.178874325,0.103315343
BoneMarrow,1,9,5,0.055833333,0.38,0.305833333,0.045,0.194166667,0.0125
BoneMarrow,1,10,5,0.041284404,0.321756225,0.518348624,0.028833552,0.085190039,0.002621232
BoneMarrow,1,11,6,0.151026393,0.332844575,0.351906158,0.042521994,0.108504399,0.008797654
BoneMarrow,1,12,6,0.05878187,0.287535411,0.546033994,0.047450425,0.055949008,0.004249292
BoneMarrow,8,13,7,0.157845868,0.162488394,0.408542247,0.112349118,0.111420613,0.044568245
BoneMarrow,8,14,7,0.017958412,0.070415879,0.711720227,0.015122873,0.081758034,0.103024575
BoneMarrow,8,15,8,0.240605721,0.202467751,0.189568144,0.238362311,0.092540662,0.03589456
BoneMarrow,8,16,8,0.107626515,0.128296507,0.40769779,0.070563079,0.204561654,0.080541696
BoneMarrow,8,17,9,0.22021978,0.147252747,0.205714286,0.261098901,0.10021978,0.05978022
BoneMarrow,8,18,9,0.034597472,0.114437791,0.664670659,0.02328676,0.103127079,0.05988024
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
BoneMarrow,12,19,10,0.146974063,0.13832853,0.121998079,0.352545629,0.194044188,0.039385207
BoneMarrow,12,20,10,0.0626703,0.21253406,0.517711172,0.019073569,0.130790191,0.054495913
BoneMarrow,12,21,11,0.093023256,0.302325581,0.284883721,0.081395349,0.215116279,0.020348837
BoneMarrow,12,22,11,0.057211926,0.202256245,0.232876712,0.055600322,0.309427881,0.1361805
BoneMarrow,12,23,12,0.249764077,0.353570305,0.148788927,0.108524693,0.116703366,0.017615602
BoneMarrow,12,24,12,0.066371681,0.099557522,0.23340708,0.163716814,0.287610619,0.146017699
BoneMarrow,12,25,13,0.078318219,0.317394889,0.233305853,0.075845012,0.211871393,0.083264633
BoneMarrow,12,26,13,0.073304158,0.241794311,0.301969365,0.054704595,0.2297593,0.092997812
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
BoneMarrow,12,27,14,0.079969535,0.215536938,0.284082254,0.070068545,0.234577304,0.104341203
BoneMarrow,12,28,14,0.07267645,0.209643606,0.523410203,0.064290706,0.106918239,0.018867925
BoneMarrow,12,29,15,0.076416337,0.205533597,0.270092227,0.138339921,0.208168643,0.100131752
BoneMarrow,12,30,15,0.022094926,0.220130933,0.641571195,0.014729951,0.070376432,0.026186579
BoneMarrow,12,31,16,0.097465887,0.230669266,0.248213125,0.10071475,0.244964263,0.071474984
