tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Brain,4,1,1,0.027027027,0.351351351,0.243243243,0.040540541,0.297297297,0.040540541
Brain,4,2,1,0.043478261,0.362318841,0.15942029,0.072463768,0.217391304,0.144927536
Brain,4,3,2,0.015037594,0.368421053,0.255639098,0.007518797,0.263157895,0.090225564
Brain,4,4,2,0.047244094,0.417322835,0.220472441,0.023622047,0.267716535,0.023622047
Brain,4,5,3,0.026415094,0.286792453,0.298113208,0.011320755,0.241509434,0.135849057
Brain,4,6,3,0.002673797,0.256684492,0.106951872,0.029411765,0.323529412,0.280748663
Brain,4,7,4,0.025316456,0.462025316,0.120253165,0.03164557,0.316455696,0.050632911
Brain,4,8,4,0,0.377777778,0.155555556,0.033333333,0.3,0.133333333
Brain,1,9,5,0.068965517,0.410344828,0.289655172,0.062068966,0.15862069,0.010344828
Brain,1,10,5,0.095238095,0.428571429,0.142857143,0.071428571,0.238095238,0
Brain,1,11,6,0.1125,0.4,0.25,0.0625,0.1125,0.0625
Brain,1,12,6,0.073684211,0.347368421,0.368421053,0.052631579,0.126315789,0.010526316
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Brain,8,13,7,0.058510638,0.35106383,0.468085106,0.015957447,0.063829787,0.042553191
Brain,8,14,7,0.092896175,0.142076503,0.142076503,0.076502732,0.300546448,0.240437158
Brain,8,15,8,0.12267658,0.338289963,0.267657993,0.115241636,0.092936803,0.059479554
Brain,8,16,8,0.093333333,0.106666667,0.146666667,0.033333333,0.406666667,0.206666667
Brain,8,17,9,0.118709677,0.286451613,0.250322581,0.141935484,0.149677419,0.052903226
Brain,8,18,9,0.114285714,0.12,0.331428571,0.114285714,0.251428571,0.068571429
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Brain,12,19,10,0.034108527,0.373643411,0.293023256,0.037209302,0.164341085,0.102325581
Brain,12,20,10,0.067444877,0.19844358,0.172503243,0.047989624,0.337224384,0.178988327
Brain,12,21,11,0.207612457,0.342560554,0.202422145,0.081314879,0.138408304,0.031141869
Brain,12,22,11,0.025886865,0.173537872,0.211888782,0.040268456,0.358581016,0.192713327
Brain,12,23,12,0.081773399,0.516256158,0.213793103,0.033497537,0.125123153,0.02955665
Brain,12,24,12,0.018388792,0.082311734,0.140105079,0.054290718,0.414185639,0.290718039
Brain,12,25,13,0.091872792,0.360424028,0.223792697,0.05418139,0.173144876,0.102473498
Brain,12,26,13,0.114391144,0.180811808,0.273062731,0.10701107,0.21402214,0.118081181
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Brain,12,27,14,0.109958506,0.257261411,0.143153527,0.076763485,0.27593361,0.126556017
Brain,12,28,14,0.03030303,0.378787879,0.233333333,0.060606061,0.278787879,0.015151515
