tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
IEL,4,1,1,0.001784211,0.13145935,0.66615048,0.001447568,0.046322168,0.151321326
IEL,4,2,1,0.001230325,0.248232629,0.612174355,0.001367027,0.039995313,0.091668945
IEL,4,3,2,0.005273202,0.267878666,0.647800321,0.004921655,0.026667336,0.042537164
IEL,4,4,2,0.006587915,0.135165834,0.651522035,0.008518855,0.053952749,0.139595638
IEL,4,5,3,0.01183607,0.191966267,0.664965232,0.005252256,0.028702471,0.093726883
IEL,4,6,3,0.012391264,0.241504475,0.592965768,0.024657363,0.045309469,0.077038613
IEL,4,7,4,0.000625894,0.12240701,0.702968526,0.000312947,0.038492489,0.132421316
IEL,4,8,4,7.18004E-05,0.188691438,0.719152755,0.000107701,0.025955843,0.061066236
IEL,1,9,5,0.000552181,0.235008283,0.749641082,0.000773054,0.004196576,0.003975704
IEL,1,10,5,0.001945147,0.230208131,0.742105946,0.001296765,0.009855411,0.008753161
IEL,1,11,6,0.00582539,0.250416099,0.725677107,0.003707066,0.006279316,0.004690573
IEL,1,12,6,0.002224479,0.300111224,0.654045167,0.002562987,0.025388075,0.009188065
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
IEL,8,13,7,0,0.114754098,0.68852459,0,0.06557377,0.131147541
IEL,8,14,7,0,0.032258065,0.516129032,0.064516129,0,0.387096774
IEL,8,15,8,0.033419023,0.05655527,0.642673522,0.023136247,0.030848329,0.210796915
IEL,8,16,8,0.003986952,0.017035158,0.407031533,0.005074302,0.028271113,0.538963393
IEL,8,17,9,0.030927835,0.075601375,0.719358534,0.027491409,0.027491409,0.116838488
IEL,8,18,9,0.009646302,0.090032154,0.565916399,0.012861736,0.038585209,0.282958199
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
IEL,12,19,10,0.004251317,0.061700527,0.788826185,0.005229496,0.014747931,0.122460497
IEL,12,20,10,0.000571149,0.029781332,0.364311358,0.000244778,0.06339752,0.540306789
IEL,12,21,11,0.00056383,0.109758963,0.859982145,0.000328901,0.00272518,0.021801438
IEL,12,22,11,0.004570223,0.025663561,0.163121814,0.008437335,0.111618914,0.683072596
IEL,12,23,12,0.001895571,0.167327245,0.773048423,0.001378597,0.00516974,0.045666035
IEL,12,24,12,0.003287071,0.013878744,0.155953251,0.008765522,0.101533966,0.714755296
IEL,12,25,13,0.002941176,0.205882353,0.694117647,0,0.032352941,0.064705882
IEL,12,26,13,0.00014039,0.082549488,0.309420188,0.000842342,0.089147831,0.510739857
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
IEL,12,27,14,0.024875622,0.019900498,0.641791045,0,0.024875622,0.28358209
IEL,12,28,14,0.028571429,0.028571429,0.314285714,0.171428571,0.085714286,0.371428571
