tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
LN,4,1,1,0.107177974,0.354965585,0.123893805,0.105703048,0.227138643,0.077187807
LN,4,2,1,0.121443089,0.206808943,0.102134146,0.129573171,0.297256098,0.139735772
LN,4,3,2,0.149350649,0.335137085,0.143217893,0.106782107,0.190836941,0.070707071
LN,4,4,2,0.152111521,0.203772038,0.12095121,0.135301353,0.255432554,0.125051251
LN,4,5,3,0.191890807,0.339622642,0.127258129,0.096346849,0.164592533,0.075471698
LN,4,6,3,0.088825215,0.201801064,0.097421203,0.164142448,0.326238232,0.12034384
LN,4,7,4,0.121807466,0.309430255,0.137033399,0.071218075,0.215127701,0.140471513
LN,4,8,4,0.106515802,0.18220835,0.131096371,0.185329692,0.252438549,0.134607881
LN,1,9,5,0.20996732,0.276960784,0.130991285,0.158769063,0.178376906,0.038126362
LN,1,10,5,0.154932787,0.263613579,0.099339257,0.190704033,0.239462292,0.041239462
LN,1,11,6,0.322568243,0.21953095,0.169165705,0.158785083,0.08804306,0.034602076
LN,1,12,6,0.224808252,0.122454377,0.113197567,0.327426607,0.122454377,0.082782333
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
LN,8,13,7,0.393828751,0.118055556,0.116623711,0.243771478,0.064862543,0.056557847
LN,8,14,7,0.286827157,0.060751961,0.060373276,0.390965648,0.090235326,0.106464701
LN,8,15,8,0.355830782,0.104091289,0.151266351,0.260367381,0.044531033,0.080434178
LN,8,16,8,0.315651641,0.066640664,0.081796401,0.332256087,0.094444754,0.103972809
LN,8,17,9,0.335185581,0.091828738,0.125667878,0.301845124,0.048942082,0.091401297
LN,8,18,9,0.353213232,0.063956305,0.084261992,0.337664626,0.067744351,0.089635731
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
LN,12,19,10,0.277270813,0.089288221,0.099255931,0.376386354,0.068229679,0.08367261
LN,12,20,10,0.320453225,0.17208987,0.10643037,0.190102653,0.128220027,0.075246949
LN,12,21,11,0.27309868,0.241043369,0.141106223,0.150219987,0.12884978,0.058139535
LN,12,22,11,0.23042648,0.123965627,0.080840229,0.291534055,0.161839593,0.105824316
LN,12,23,12,0.318211382,0.261788618,0.162764228,0.119349593,0.076260163,0.054471545
LN,12,24,12,0.176053615,0.042531254,0.038793659,0.479443227,0.163423122,0.094728702
LN,12,25,13,0.3203125,0.168526786,0.084821429,0.2421875,0.122767857,0.0546875
LN,12,26,13,0.278784119,0.100992556,0.05942928,0.354218362,0.122456576,0.079404467
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
LN,12,27,14,0.343166595,0.124839675,0.09819011,0.250534416,0.092347157,0.076100898
LN,12,28,14,0.321315372,0.076763074,0.077852615,0.356081616,0.086568938,0.070919176
