tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Muscle,4,1,1,0.102857143,0.362857143,0.111428571,0.108571429,0.24,0.071428571
Muscle,4,2,1,0.044897959,0.265306122,0.126530612,0.044897959,0.4,0.114285714
Muscle,4,3,2,0.225100871,0.242939053,0.108727968,0.184327883,0.148651518,0.082395413
Muscle,4,4,2,0.068331143,0.248357424,0.231274639,0.094612352,0.282522996,0.069645204
Muscle,4,5,3,0.157349896,0.368530021,0.121118012,0.089026915,0.17805383,0.080745342
Muscle,4,6,3,0.0825,0.315,0.1325,0.1525,0.2875,0.03
Muscle,4,7,4,0.019766853,0.34617334,0.208819057,0.00861632,0.263558033,0.153573239
Muscle,4,8,4,0.010344828,0.246896552,0.35862069,0.013793103,0.233103448,0.135862069
Muscle,1,9,5,0.141206675,0.383825417,0.177150193,0.097560976,0.159178434,0.038510911
Muscle,1,10,5,0.200976971,0.254012561,0.267969295,0.115840893,0.133286811,0.025122121
Muscle,1,11,6,0.148623853,0.433027523,0.108256881,0.07706422,0.183486239,0.047706422
Muscle,1,12,6,0.033426184,0.32729805,0.477715877,0.045961003,0.10724234,0.009749304
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Muscle,8,13,7,0.230769231,0.351398601,0.125874126,0.120629371,0.124125874,0.043706294
Muscle,8,14,7,0.110261343,0.243747947,0.0571013,0.149439309,0.357856707,0.075916108
Muscle,8,15,8,0.347732181,0.20950324,0.103671706,0.253779698,0.062634989,0.019438445
Muscle,8,16,8,0.31445565,0.098870787,0.061374019,0.313335057,0.126196018,0.077665718
Muscle,8,17,9,0.13836478,0.301886792,0.123689727,0.113207547,0.211740042,0.106918239
Muscle,8,18,9,0.310714286,0.1,0.125,0.233928571,0.155357143,0.071428571
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Muscle,12,19,10,0.25,0.189655172,0.051724138,0.307471264,0.163793103,0.037356322
Muscle,12,20,10,0.12195122,0.276422764,0.089430894,0.097560976,0.317073171,0.097560976
Muscle,12,22,11,0.089385475,0.167597765,0.150837989,0.134078212,0.346368715,0.111731844
Muscle,12,24,12,0.041176471,0.070588235,0.070588235,0.094117647,0.517647059,0.211764706
Muscle,12,25,13,0.039156627,0.430722892,0.268072289,0.021084337,0.186746988,0.054216867
Muscle,12,26,13,0.23781811,0.1477609,0.045176563,0.297987769,0.196883014,0.063523377
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Muscle,12,27,14,0.299479167,0.153645833,0.046875,0.270833333,0.1484375,0.0703125
Muscle,12,28,14,0.297805643,0.222570533,0.059561129,0.206896552,0.181818182,0.015673981
Muscle,12,29,15,0.240569088,0.233886613,0.062297909,0.226988575,0.179564561,0.046777323
