tissue,week,mouse,pair,host.tconv.naive,host.tconv.activ,host.tconv.cd69p,donor.tconv.naive,donor.tconv.activ,donor.tconv.cd69p
Blood,4,1,1,0.453989362,0.130585106,0.002925532,0.312765957,0.09787234,0.000797872
Blood,4,2,1,0.338477366,0.077160494,0.001345362,0.473725863,0.107470719,0.001424501
Blood,4,3,2,0.474909091,0.095854545,0.001672727,0.346909091,0.078327273,0.000727273
Blood,4,4,2,0.361630595,0.074105204,0.001050641,0.477551306,0.083140716,0.000560342
Blood,4,5,3,0.584025559,0.075079872,0.002236422,0.285463259,0.052236422,0.000638978
Blood,4,6,3,0.314112437,0.070850982,0.000481325,0.534174047,0.079322295,0.000866384
Blood,4,7,4,0.411670762,0.18980344,0.004668305,0.238697789,0.154054054,0.0002457
Blood,4,8,4,0.261204996,0.164217487,0.000734754,0.401175606,0.170279206,0.002020573
Blood,1,9,5,0.472158416,0.093386139,0.001821782,0.384237624,0.04609901,0.000475248
Blood,1,10,5,0.447337703,0.068869534,0.000808117,0.420939212,0.060878154,0.000628536
Blood,1,11,6,0.604092012,0.082649405,0.000809155,0.278927292,0.032828575,0.000462374
Blood,1,12,6,0.331372073,0.065692102,0.000363945,0.511646245,0.085648429,0.00097052
Skin,4,1,1,0.018803419,0.357264957,0.282051282,0.01025641,0.177777778,0.153846154
Skin,4,2,1,0,0.179640719,0.48502994,0.011976048,0.239520958,0.089820359
Skin,4,3,2,0.011811024,0.397637795,0.299212598,0.011811024,0.188976378,0.094488189
Skin,4,4,2,0.003533569,0.247349823,0.48409894,0.017667845,0.173144876,0.070671378
Skin,4,5,3,0.005244755,0.305944056,0.381118881,0,0.155594406,0.152097902
Skin,4,6,3,0,0.224637681,0.297101449,0.014492754,0.202898551,0.260869565
Skin,4,7,4,0.025531915,0.383829787,0.320851064,0.013617021,0.167659574,0.088510638
Skin,4,8,4,0.013477089,0.230458221,0.630727763,0.005390836,0.101078167,0.018867925
Skin,1,9,5,0.039548023,0.570621469,0.192090395,0.028248588,0.15819209,0.011299435
Skin,1,10,5,0.089382124,0.217756449,0.343731254,0.123575285,0.192561488,0.028794241
Skin,1,11,6,0.040816327,0.244897959,0.434402332,0.029154519,0.119533528,0.128279883
Skin,1,12,6,0.025210084,0.207282913,0.302521008,0.028011204,0.257703081,0.182072829
Blood,8,13,7,0.495712656,0.105867113,0.000703997,0.346127311,0.048955972,0.000563198
Blood,8,14,7,0.380542933,0.052902695,0.000568004,0.46877938,0.095738013,0.000646349
Blood,8,15,8,0.438775696,0.165233828,0.00069067,0.317835657,0.074101674,0.00032716
Blood,8,16,8,0.409610224,0.052357827,0.001009585,0.427629393,0.106658147,0.000984026
Blood,8,17,9,0.406959623,0.124675971,0.000642873,0.400033181,0.065324236,0.000601398
Blood,8,18,9,0.424278106,0.081662965,0.000762705,0.367382985,0.123103273,0.000709182
Skin,8,13,7,0.126213592,0.247572816,0.283980583,0.101941748,0.133495146,0.101941748
Skin,8,14,7,0.142348754,0.085409253,0.306049822,0.149466192,0.206405694,0.110320285
Skin,8,15,8,0.087878788,0.4,0.3,0.066666667,0.048484848,0.096969697
Skin,8,16,8,0.049222798,0.121761658,0.295336788,0.028497409,0.18134715,0.316062176
Skin,8,17,9,0.099415205,0.30728336,0.087985114,0.102870813,0.283625731,0.118288145
Skin,8,18,9,0.181069959,0.211934156,0.261316872,0.109053498,0.179012346,0.055555556
Blood,12,19,10,0.379968442,0.082462995,0.003831993,0.469494327,0.062100834,0.00078894
Blood,12,20,10,0.549514759,0.045098895,0.000537291,0.350112495,0.053292589,0.000705195
Blood,12,21,11,0.534804654,0.117178112,0.000849966,0.301503561,0.044051701,0.000322401
Blood,12,22,11,0.360507104,0.040584033,0.001569982,0.504592197,0.091176701,0.000431745
Blood,12,23,12,0.653525622,0.116850878,0.001182103,0.198297772,0.028252261,0.000591051
Blood,12,24,12,0.224681582,0.02017841,0.001097171,0.670371607,0.081953919,0.001049468
Blood,12,25,13,0.51237779,0.090536801,0.00051651,0.352222837,0.042685851,0.000147574
Blood,12,26,13,0.374665376,0.047673293,0.000170872,0.487326992,0.088967363,0.000284787
Skin,12,19,10,0.131835938,0.168945313,0.361328125,0.19140625,0.116210938,0.030273438
Skin,12,20,10,0.097435897,0.174358974,0.316239316,0.041025641,0.18974359,0.182905983
Skin,12,21,11,0.04109589,0.326027397,0.367123288,0.024657534,0.138356164,0.106849315
Skin,12,22,11,0.189349112,0.133136095,0.100591716,0.226331361,0.218934911,0.130177515
Skin,12,23,12,0.049751244,0.247512438,0.471393035,0.023631841,0.059701493,0.152985075
Skin,12,24,12,0.053211009,0.079510703,0.052599388,0.15412844,0.420183486,0.240978593
Skin,12,25,13,0.15478424,0.312851782,0.194652908,0.109756098,0.152908068,0.075515947
Skin,12,26,13,0.194980695,0.147200772,0.094594595,0.265926641,0.230694981,0.062741313
Blood,12,27,14,0.442373635,0.111823724,0.000857252,0.385604521,0.054038608,0.000539751
Blood,12,28,14,0.406215263,0.042530569,0.000773283,0.482963607,0.063505872,0.000773283
Blood,12,29,15,0.466052169,0.075260132,0.001567919,0.40328788,0.049935858,0.000570153
Blood,12,30,15,0.460817811,0.066681362,0.000881737,0.386311033,0.08095448,0.000826628
Blood,12,31,16,0.525442925,0.083569291,0.001496643,0.339859235,0.045384678,0.000444948
Blood,12,32,16,0.280890938,0.151154576,0.001227085,0.351801584,0.210612427,0.001078348
Skin,12,27,14,0.048991354,0.182997118,0.229106628,0.066282421,0.158501441,0.309798271
Skin,12,28,14,0.018030513,0.312066574,0.414701803,0.0110957,0.194174757,0.045769764
