Tissue,Mean,Standard deviation,Median
Blood,133000,146000,75200
BoneMarrow,4400000,982000,4560000
Thymus,4130000,1760000,4460000
Spleen,9290000,2940000,9040000
LN,2480000,757000,2260000
MLN,1530000,674000,1380000
PP,61300,19300,62000
Adrenals,734,233,776
Brain,1720,1010,1270
Skin,145000,151000,122000
Kidney,5830,1150,6170
Liver,30900,6000,29700
Lung,3260,2570,2190
Pancreas,71700,22200,75800
Muscle,4720000,9230000,164000
WAT,2480,1890,1960
IEL,3930000,715000,3810000
LPL,1350000,350000,1290000
FRT,2640,1290,2040
