Tissue,Mean,Standard deviation,Median
Blood,240000,88500,249000
BoneMarrow,2280000,415000,2280000
Thymus,12500000,5720000,13700000
Spleen,14200000,4460000,14200000
LN,2520000,674000,2390000
MLN,1790000,786000,1580000
PP,207000,29700,198000
Adrenals,1050,234,1120
Brain,1040,254,1090
Skin,3450,2120,2840
Kidney,9440,3260,9650
Liver,127000,25200,125000
Lung,4800,2990,3480
Pancreas,110000,31800,116000
Muscle,41600,69200,10100
WAT,5930,3430,5390
IEL,432000,77700,405000
LPL,1140000,216000,1090000
FRT,3820,1650,3340
